'501', 'South Boulevard', '5', '20210423 05:00:19'
'501', 'Howard', '5', '20210423 05:01:35'
'501', 'Howard', '5', '20210423 05:01:35'
'503', 'Noyes', '1', '20210423 05:02:27'
'503', 'Linden', '1', '20210423 05:04:32'
'503', 'Linden', '1', '20210423 05:04:32'
'502', 'Central', '5', '20210423 05:06:34'
'503', 'Linden', '1', '20210423 05:05:45'
'502', 'Davis', '5', '20210423 05:09:34'
'502', 'Davis', '5', '20210423 05:10:29'
'502', 'Davis', '5', '20210423 05:10:29'
'502', 'Dempster', '5', '20210423 05:12:06'
'501', 'South Boulevard', '1', '20210423 05:13:33'
'502', 'Main', '5', '20210423 05:13:38'
'501', 'Main', '1', '20210423 05:13:40'
'502', 'Main', '5', '20210423 05:13:38'
'502', 'South Boulevard', '5', '20210423 05:15:39'
'502', 'Howard', '5', '20210423 05:16:21'
'501', 'Davis', '1', '20210423 05:17:39'
'502', 'Howard', '5', '20210423 05:17:35'
'501', 'Noyes', '1', '20210423 05:19:20'
'503', 'Central', '5', '20210423 05:19:00'
'501', 'Linden', '1', '20210423 05:21:39'
'503', 'Davis', '5', '20210423 05:21:39'
'501', 'Linden', '1', '20210423 05:21:46'
'503', 'Davis', '5', '20210423 05:22:19'
'501', 'Linden', '1', '20210423 05:23:08'
'503', 'Davis', '5', '20210423 05:22:53'
'503', 'Dempster', '5', '20210423 05:24:13'
'503', 'Main', '5', '20210423 05:25:36'
'503', 'Main', '5', '20210423 05:25:49'
'503', 'South Boulevard', '5', '20210423 05:27:09'
'502', 'South Boulevard', '1', '20210423 05:28:36'
'503', 'Howard', '5', '20210423 05:28:18'
'502', 'Main', '1', '20210423 05:29:09'
'502', 'Dempster', '1', '20210423 05:31:40'
'501', 'Central', '5', '20210423 05:34:03'
'502', 'Foster', '1', '20210423 05:34:34'
'502', 'Noyes', '1', '20210423 05:34:57'
'501', 'Davis', '5', '20210423 05:36:22'
'501', 'Davis', '5', '20210423 05:37:28'
'502', 'Linden', '1', '20210423 05:37:35'
'501', 'Davis', '5', '20210423 05:38:16'
'502', 'Linden', '1', '20210423 05:37:35'
'503', 'Wilson', '5', '20210423 05:38:33'
'501', 'Davis', '5', '20210423 05:39:28'
'502', 'Linden', '1', '20210423 05:39:01'
'503', 'Wilson', '5', '20210423 05:39:33'
'501', 'Dempster', '5', '20210423 05:39:50'
'501', 'Main', '5', '20210423 05:41:27'
'501', 'Main', '5', '20210423 05:42:32'
'504', 'Main', '1', '20210423 05:42:32'
'501', 'South Boulevard', '5', '20210423 05:43:27'
'504', 'Main', '1', '20210423 05:43:34'
'501', 'Howard', '5', '20210423 05:44:16'
'503', 'Belmont', '5', '20210423 05:45:29'
'503', 'Wellington', '5', '20210423 05:46:21'
'504', 'Davis', '1', '20210423 05:46:32'
'503', 'Diversey', '5', '20210423 05:47:15'
'503', 'Fullerton', '5', '20210423 05:48:23'
'504', 'Noyes', '1', '20210423 05:48:22'
'503', 'Armitage', '5', '20210423 05:50:38'
'504', 'Central', '1', '20210423 05:50:19'
'502', 'Central', '5', '20210423 05:51:24'
'504', 'Linden', '1', '20210423 05:50:41'
'504', 'Linden', '1', '20210423 05:52:05'
'503', 'Sedgwick', '5', '20210423 05:53:23'
'502', 'Davis', '5', '20210423 05:54:21'
'501', 'Wilson', '5', '20210423 05:55:35'
'502', 'Davis', '5', '20210423 05:55:05'
'507', 'South Boulevard', '1', '20210423 05:55:36'
'501', 'Wilson', '5', '20210423 05:56:34'
'502', 'Davis', '5', '20210423 05:55:49'
'503', 'Chicago', '5', '20210423 05:56:37'
'507', 'Main', '1', '20210423 05:55:44'
'507', 'Main', '1', '20210423 05:57:15'
'503', 'Merchandise Mart', '5', '20210423 05:58:37'
'507', 'Dempster', '1', '20210423 05:58:37'
'502', 'Main', '5', '20210423 05:58:55'
'503', 'Merchandise Mart', '5', '20210423 05:59:15'
'502', 'South Boulevard', '5', '20210423 06:00:20'
'502', 'Howard', '5', '20210423 06:01:38'
'503', 'State/Lake', '5', '20210423 06:01:38'
'507', 'Foster', '1', '20210423 06:01:22'
'501', 'Belmont', '5', '20210423 06:02:38'
'502', 'Howard', '5', '20210423 06:01:38'
'507', 'Noyes', '1', '20210423 06:01:45'
'501', 'Wellington', '5', '20210423 06:03:12'
'503', 'Adams/Wabash', '5', '20210423 06:03:32'
'501', 'Diversey', '5', '20210423 06:04:39'
'503', 'Adams/Wabash', '5', '20210423 06:04:37'
'506', 'Central', '5', '20210423 06:04:30'
'507', 'Linden', '1', '20210423 06:04:09'
'501', 'Diversey', '5', '20210423 06:05:26'
'503', 'Harold Washington Library-State/Van Buren', '5', '20210423 06:05:33'
'507', 'Linden', '1', '20210423 06:05:30'
'501', 'Fullerton', '5', '20210423 06:06:10'
'503', 'LaSalle/Van Buren', '5', '20210423 06:06:23'
'507', 'Linden', '1', '20210423 06:06:31'
'503', 'Quincy', '5', '20210423 06:07:18'
'506', 'Davis', '5', '20210423 06:07:37'
'501', 'Armitage', '5', '20210423 06:08:37'
'503', 'Quincy', '5', '20210423 06:08:27'
'506', 'Davis', '5', '20210423 06:08:38'
'506', 'Davis', '5', '20210423 06:08:38'
'502', 'Wilson', '5', '20210423 06:10:28'
'503', 'Merchandise Mart', '1', '20210423 06:10:13'
'506', 'Dempster', '5', '20210423 06:10:10'
'508', 'South Boulevard', '1', '20210423 06:10:22'
'502', 'Wilson', '5', '20210423 06:11:28'
'503', 'Merchandise Mart', '1', '20210423 06:11:32'
