'506', 'Davis', '5', '20210423 14:00:35'
'503', 'Main', '1', '20210423 14:01:32'
'506', 'Dempster', '5', '20210423 14:01:00'
'516', 'Linden', '1', '20210423 14:01:31'
'503', 'Main', '1', '20210423 14:02:33'
'506', 'Main', '5', '20210423 14:02:29'
'516', 'Linden', '1', '20210423 14:01:31'
'503', 'Dempster', '1', '20210423 14:02:56'
'506', 'Main', '5', '20210423 14:03:30'
'516', 'Linden', '1', '20210423 14:02:55'
'506', 'South Boulevard', '5', '20210423 14:04:22'
'506', 'Howard', '5', '20210423 14:05:02'
'503', 'Foster', '1', '20210423 14:06:26'
'503', 'Noyes', '1', '20210423 14:06:50'
'515', 'Central', '5', '20210423 14:07:48'
'503', 'Linden', '1', '20210423 14:09:01'
'503', 'Linden', '1', '20210423 14:10:21'
'515', 'Davis', '5', '20210423 14:10:06'
'503', 'Linden', '1', '20210423 14:11:36'
'515', 'Davis', '5', '20210423 14:11:08'
'515', 'Davis', '5', '20210423 14:11:50'
'515', 'Dempster', '5', '20210423 14:13:21'
'515', 'Main', '5', '20210423 14:14:38'
'515', 'Main', '5', '20210423 14:14:50'
'515', 'South Boulevard', '5', '20210423 14:16:11'
'515', 'Howard', '5', '20210423 14:17:23'
'514', 'Main', '1', '20210423 14:18:34'
'515', 'Howard', '5', '20210423 14:18:36'
'514', 'Main', '1', '20210423 14:19:35'
'517', 'Central', '5', '20210423 14:19:33'
'514', 'Dempster', '1', '20210423 14:20:01'
'517', 'Davis', '5', '20210423 14:22:19'
'517', 'Davis', '5', '20210423 14:23:00'
'514', 'Noyes', '1', '20210423 14:24:10'
'517', 'Davis', '5', '20210423 14:23:42'
'517', 'Dempster', '5', '20210423 14:25:24'
'514', 'Linden', '1', '20210423 14:26:21'
'517', 'Dempster', '5', '20210423 14:25:24'
'514', 'Linden', '1', '20210423 14:26:21'
'517', 'Main', '5', '20210423 14:26:57'
'512', 'Central', '5', '20210423 14:28:22'
'514', 'Linden', '1', '20210423 14:28:35'
'517', 'South Boulevard', '5', '20210423 14:28:22'
'517', 'Howard', '5', '20210423 14:29:36'
'518', 'Main', '1', '20210423 14:29:27'
'512', 'Davis', '5', '20210423 14:30:34'
'517', 'Howard', '5', '20210423 14:29:36'
'518', 'Main', '1', '20210423 14:30:29'
'512', 'Davis', '5', '20210423 14:31:25'
'518', 'Dempster', '1', '20210423 14:30:55'
'512', 'Davis', '5', '20210423 14:32:17'
'512', 'Davis', '5', '20210423 14:33:19'
'512', 'Dempster', '5', '20210423 14:33:44'
'518', 'Foster', '1', '20210423 14:34:26'
'512', 'Main', '5', '20210423 14:35:08'
'518', 'Noyes', '1', '20210423 14:34:48'
'512', 'South Boulevard', '5', '20210423 14:36:26'
'518', 'Central', '1', '20210423 14:36:35'
'512', 'Howard', '5', '20210423 14:37:35'
'518', 'Linden', '1', '20210423 14:36:56'
'512', 'Howard', '5', '20210423 14:38:36'
'518', 'Linden', '1', '20210423 14:38:04'
'518', 'Linden', '1', '20210423 14:39:20'
'517', 'South Boulevard', '1', '20210423 14:40:39'
'517', 'Main', '1', '20210423 14:41:14'
'517', 'Main', '1', '20210423 14:42:20'
'514', 'Central', '5', '20210423 14:42:56'
'517', 'Dempster', '1', '20210423 14:42:43'
'514', 'Davis', '5', '20210423 14:45:35'
'514', 'Davis', '5', '20210423 14:46:14'
'514', 'Davis', '5', '20210423 14:46:56'
'517', 'Noyes', '1', '20210423 14:47:03'
'512', 'Wilson', '5', '20210423 14:48:50'
'514', 'Dempster', '5', '20210423 14:48:24'
'514', 'Dempster', '5', '20210423 14:48:24'
'517', 'Linden', '1', '20210423 14:49:23'
'514', 'Main', '5', '20210423 14:49:57'
'517', 'Linden', '1', '20210423 14:49:23'
'514', 'South Boulevard', '5', '20210423 14:51:17'
'517', 'Linden', '1', '20210423 14:50:48'
'514', 'Howard', '5', '20210423 14:52:27'
'506', 'Main', '1', '20210423 14:53:20'
'514', 'Howard', '5', '20210423 14:53:36'
'506', 'Main', '1', '20210423 14:54:23'
'512', 'Belmont', '5', '20210423 14:54:37'
'506', 'Dempster', '1', '20210423 14:54:47'
'512', 'Diversey', '5', '20210423 14:56:34'
'506', 'Foster', '1', '20210423 14:58:27'
'512', 'Fullerton', '5', '20210423 14:58:39'
'506', 'Noyes', '1', '20210423 14:58:48'
'518', 'Central', '5', '20210423 14:59:03'
'506', 'Central', '1', '20210423 15:00:30'
'512', 'Armitage', '5', '20210423 15:00:32'
'506', 'Linden', '1', '20210423 15:00:52'
'514', 'Wilson', '5', '20210423 15:01:36'
'518', 'Davis', '5', '20210423 15:01:12'
'506', 'Linden', '1', '20210423 15:02:01'
'518', 'Davis', '5', '20210423 15:02:20'
'512', 'Sedgwick', '5', '20210423 15:03:12'
'518', 'Davis', '5', '20210423 15:02:56'
'518', 'Davis', '5', '20210423 15:04:06'
'518', 'Davis', '5', '20210423 15:04:06'
'504', 'South Boulevard', '1', '20210423 15:06:33'
'512', 'Chicago', '5', '20210423 15:06:36'
'518', 'Dempster', '5', '20210423 15:05:40'
'504', 'Main', '1', '20210423 15:06:43'
'518', 'Main', '5', '20210423 15:07:22'
'504', 'Dempster', '1', '20210423 15:08:11'
'512', 'Merchandise Mart', '5', '20210423 15:08:32'
'514', 'Belmont', '5', '20210423 15:08:35'
'518', 'Main', '5', '20210423 15:08:26'
'514', 'Wellington', '5', '20210423 15:09:36'
'518', 'South Boulevard', '5', '20210423 15:09:16'
'514', 'Wellington', '5', '20210423 15:10:19'
'518', 'Howard', '5', '20210423 15:09:58'
'512', 'State/Lake', '5', '20210423 15:11:34'
'514', 'Diversey', '5', '20210423 15:11:11'
'504', 'Foster', '1', '20210423 15:12:33'
'512', 'State/Lake', '5', '20210423 15:12:34'
'514', 'Fullerton', '5', '20210423 15:12:23'
'515', 'Central', '5', '20210423 15:12:31'
'504', 'Noyes', '1', '20210423 15:13:07'
'512', 'Washington/Wabash', '5', '20210423 15:13:36'
