['514', 'Main', '1', '20210429 13:59:37']
['517', 'Howard', '5', '20210429 13:59:31']
['518', 'Davis', '5', '20210429 14:02:31']
['514', 'Davis', '1', '20210429 14:03:35']
['518', 'Davis', '5', '20210429 14:03:15']
['518', 'Davis', '5', '20210429 14:03:57']
['514', 'Noyes', '1', '20210429 14:05:20']
['518', 'Dempster', '5', '20210429 14:05:26']
['518', 'Dempster', '5', '20210429 14:05:26']
['514', 'Central', '1', '20210429 14:07:20']
['518', 'Main', '5', '20210429 14:06:59']
['518', 'South Boulevard', '5', '20210429 14:08:20']
['513', 'Central', '5', '20210429 14:09:18']
['514', 'Linden', '1', '20210429 14:09:04']
['518', 'Howard', '5', '20210429 14:09:33']
['513', 'Central', '5', '20210429 14:10:06']
['518', 'Howard', '5', '20210429 14:09:33']
['519', 'Main', '1', '20210429 14:11:28']
['513', 'Davis', '5', '20210429 14:12:22']
['519', 'Main', '1', '20210429 14:12:27']
['513', 'Davis', '5', '20210429 14:13:32']
['513', 'Davis', '5', '20210429 14:14:06']
['513', 'Dempster', '5', '20210429 14:15:35']
['513', 'Dempster', '5', '20210429 14:15:35']
['519', 'Foster', '1', '20210429 14:16:37']
['513', 'Main', '5', '20210429 14:17:07']
['519', 'Noyes', '1', '20210429 14:16:57']
['513', 'South Boulevard', '5', '20210429 14:18:19']
['513', 'South Boulevard', '5', '20210429 14:18:50']
['513', 'Howard', '5', '20210429 14:19:40']
['519', 'Linden', '1', '20210429 14:20:34']
['514', 'Central', '5', '20210429 14:21:30']
['519', 'Linden', '1', '20210429 14:21:30']
['514', 'Central', '5', '20210429 14:22:26']
['518', 'Main', '1', '20210429 14:23:14']
['518', 'Main', '1', '20210429 14:24:15']
['514', 'Davis', '5', '20210429 14:25:26']
['518', 'Dempster', '1', '20210429 14:25:38']
['514', 'Davis', '5', '20210429 14:26:21']
['514', 'Davis', '5', '20210429 14:27:32']
['513', 'Wilson', '5', '20210429 14:28:33']
['514', 'Dempster', '5', '20210429 14:27:53']
['518', 'Foster', '1', '20210429 14:28:25']
['514', 'Main', '5', '20210429 14:29:24']
['518', 'Noyes', '1', '20210429 14:28:47']
['514', 'Main', '5', '20210429 14:30:28']
['513', 'Sheridan', '5', '20210429 14:30:53']
['514', 'South Boulevard', '5', '20210429 14:31:17']
['515', 'Central', '5', '20210429 14:31:32']
['514', 'Howard', '5', '20210429 14:32:06']
