['501', 'Dempster', '5', '20210430 05:00:16']
['503', 'Dempster', '1', '20210430 05:00:32']
['501', 'Main', '5', '20210430 05:01:13']
['503', 'Dempster', '1', '20210430 05:01:27']
['501', 'South Boulevard', '5', '20210430 05:02:37']
['501', 'South Boulevard', '5', '20210430 05:03:08']
['501', 'Howard', '5', '20210430 05:03:57']
['503', 'Foster', '1', '20210430 05:04:18']
['503', 'Noyes', '1', '20210430 05:04:49']
['503', 'Central', '1', '20210430 05:06:31']
['502', 'Central', '5', '20210430 05:07:19']
['503', 'Linden', '1', '20210430 05:08:26']
['502', 'Noyes', '5', '20210430 05:09:35']
['503', 'Linden', '1', '20210430 05:09:28']
['502', 'Davis', '5', '20210430 05:10:27']
['502', 'Davis', '5', '20210430 05:11:38']
['502', 'Davis', '5', '20210430 05:11:38']
['502', 'Dempster', '5', '20210430 05:13:09']
['502', 'Main', '5', '20210430 05:14:33']
['502', 'Main', '5', '20210430 05:14:45']
['502', 'South Boulevard', '5', '20210430 05:16:15']
['502', 'Howard', '5', '20210430 05:17:33']
['502', 'Howard', '5', '20210430 05:17:33']
['503', 'Davis', '5', '20210430 05:23:30']
['501', 'Main', '1', '20210430 05:24:33']
['503', 'Davis', '5', '20210430 05:24:35']
['501', 'Main', '1', '20210430 05:25:35']
['503', 'Davis', '5', '20210430 05:24:35']
['501', 'Dempster', '1', '20210430 05:25:59']
['502', 'Wilson', '5', '20210430 05:26:33']
['503', 'Dempster', '5', '20210430 05:26:04']
['502', 'Wilson', '5', '20210430 05:27:34']
['503', 'Main', '5', '20210430 05:27:33']
['501', 'Davis', '1', '20210430 05:28:30']
['503', 'Main', '5', '20210430 05:28:30']
['504', 'South Boulevard', '1', '20210430 05:28:15']
['503', 'South Boulevard', '5', '20210430 05:29:20']
['504', 'Main', '1', '20210430 05:29:39']
['501', 'Noyes', '1', '20210430 05:30:15']
['503', 'Howard', '5', '20210430 05:29:59']
['504', 'Dempster', '1', '20210430 05:30:04']
['502', 'Belmont', '5', '20210430 05:33:37']
['504', 'Foster', '1', '20210430 05:33:30']
['501', 'Linden', '1', '20210430 05:33:47']
['502', 'Wellington', '5', '20210430 05:34:07']
['504', 'Noyes', '1', '20210430 05:33:53']
['502', 'Diversey', '5', '20210430 05:35:31']
['504', 'Central', '1', '20210430 05:35:30']
['502', 'Diversey', '5', '20210430 05:36:36']
['504', 'Linden', '1', '20210430 05:36:56']
['503', 'Wilson', '5', '20210430 05:38:34']
['502', 'Armitage', '5', '20210430 05:39:35']
['501', 'Central', '5', '20210430 05:40:24']
['506', 'Main', '1', '20210430 05:42:39']
['501', 'Davis', '5', '20210430 05:43:18']
['502', 'Sedgwick', '5', '20210430 05:43:20']
['506', 'Main', '1', '20210430 05:42:39']
