['517', 'Howard', '5', '20210503 14:00:34']
['517', 'Howard', '5', '20210503 14:00:34']
['514', 'Foster', '1', '20210503 14:02:40']
['517', 'Howard', '5', '20210503 14:00:34']
['518', 'Davis', '5', '20210503 14:02:37']
['514', 'Noyes', '1', '20210503 14:03:03']
['517', 'Howard', '5', '20210503 14:00:34']
['518', 'Davis', '5', '20210503 14:03:37']
['517', 'Howard', '5', '20210503 14:00:34']
['518', 'Davis', '5', '20210503 14:03:37']
['517', 'Howard', '5', '20210503 14:00:34']
['514', 'Linden', '1', '20210503 14:06:30']
['518', 'Dempster', '5', '20210503 14:06:38']
['514', 'Linden', '1', '20210503 14:07:27']
['518', 'Main', '5', '20210503 14:06:47']
['518', 'South Boulevard', '5', '20210503 14:08:09']
['518', 'Howard', '5', '20210503 14:09:22']
['513', 'Central', '5', '20210503 14:12:28']
['513', 'Davis', '5', '20210503 14:15:38']
['519', 'Main', '1', '20210503 14:15:20']
['513', 'Davis', '5', '20210503 14:16:23']
['519', 'Main', '1', '20210503 14:16:22']
['513', 'Davis', '5', '20210503 14:16:23']
['519', 'Dempster', '1', '20210503 14:16:46']
['513', 'Davis', '5', '20210503 14:17:41']
['513', 'Davis', '5', '20210503 14:17:41']
['513', 'Dempster', '5', '20210503 14:20:11']
['513', 'Dempster', '5', '20210503 14:20:11']
['519', 'Noyes', '1', '20210503 14:21:02']
['513', 'Main', '5', '20210503 14:21:52']
['513', 'South Boulevard', '5', '20210503 14:23:24']
['518', 'Main', '1', '20210503 14:23:11']
['513', 'Howard', '5', '20210503 14:24:35']
['514', 'Central', '5', '20210503 14:24:29']
['518', 'Main', '1', '20210503 14:24:29']
['513', 'Howard', '5', '20210503 14:25:40']
['514', 'Central', '5', '20210503 14:25:15']
['518', 'Dempster', '1', '20210503 14:24:56']
['519', 'Linden', '1', '20210503 14:24:47']
['514', 'Davis', '5', '20210503 14:27:38']
['514', 'Davis', '5', '20210503 14:28:32']
['518', 'Foster', '1', '20210503 14:28:33']
['514', 'Davis', '5', '20210503 14:29:24']
['518', 'Noyes', '1', '20210503 14:28:57']
['514', 'Davis', '5', '20210503 14:29:24']
['514', 'Dempster', '5', '20210503 14:32:30']
['515', 'Central', '5', '20210503 14:32:38']
['518', 'Linden', '1', '20210503 14:32:31']
['513', 'Wilson', '5', '20210503 14:33:37']
['514', 'Main', '5', '20210503 14:32:42']
['515', 'Central', '5', '20210503 14:33:20']
['518', 'Linden', '1', '20210503 14:33:34']
['514', 'South Boulevard', '5', '20210503 14:34:33']
['513', 'Sheridan', '5', '20210503 14:35:40']
['514', 'Howard', '5', '20210503 14:35:15']
['515', 'Davis', '5', '20210503 14:35:39']
['513', 'Sheridan', '5', '20210503 14:35:40']
['515', 'Davis', '5', '20210503 14:36:29']
['520', 'Main', '1', '20210503 14:36:32']
['515', 'Davis', '5', '20210503 14:37:29']
['520', 'Main', '1', '20210503 14:37:30']
['515', 'Davis', '5', '20210503 14:38:36']
['520', 'Dempster', '1', '20210503 14:37:57']
['513', 'Belmont', '5', '20210503 14:40:27']
['515', 'Main', '5', '20210503 14:40:25']
['520', 'Davis', '1', '20210503 14:40:31']
['513', 'Belmont', '5', '20210503 14:41:33']
['515', 'Main', '5', '20210503 14:41:28']
