['513', 'Linden', '1', '20210504 14:00:46']
['518', 'Davis', '5', '20210504 14:00:52']
['513', 'Linden', '1', '20210504 14:01:40']
['518', 'Davis', '5', '20210504 14:01:39']
['518', 'Davis', '5', '20210504 14:02:19']
['514', 'Foster', '1', '20210504 14:03:18']
['518', 'Davis', '5', '20210504 14:03:33']
['514', 'Noyes', '1', '20210504 14:03:42']
['514', 'Central', '1', '20210504 14:05:32']
['518', 'Main', '5', '20210504 14:05:36']
['518', 'Main', '5', '20210504 14:05:49']
['514', 'Linden', '1', '20210504 14:07:05']
['518', 'South Boulevard', '5', '20210504 14:07:10']
['518', 'Howard', '5', '20210504 14:08:20']
['518', 'Howard', '5', '20210504 14:09:31']
['513', 'Central', '5', '20210504 14:11:13']
['513', 'Central', '5', '20210504 14:11:59']
['513', 'Davis', '5', '20210504 14:14:17']
['513', 'Davis', '5', '20210504 14:15:22']
['519', 'Main', '1', '20210504 14:15:14']
['513', 'Davis', '5', '20210504 14:16:03']
['519', 'Main', '1', '20210504 14:16:13']
['519', 'Dempster', '1', '20210504 14:17:39']
['513', 'Main', '5', '20210504 14:19:01']
['513', 'South Boulevard', '5', '20210504 14:20:21']
['519', 'Foster', '1', '20210504 14:20:27']
['513', 'Howard', '5', '20210504 14:21:30']
['519', 'Noyes', '1', '20210504 14:20:49']
['513', 'Howard', '5', '20210504 14:22:31']
['518', 'Main', '1', '20210504 14:23:35']
['514', 'Central', '5', '20210504 14:24:37']
['518', 'Main', '1', '20210504 14:23:35']
['519', 'Linden', '1', '20210504 14:24:23']
['518', 'Dempster', '1', '20210504 14:25:13']
['519', 'Linden', '1', '20210504 14:25:23']
['518', 'Dempster', '1', '20210504 14:26:20']
['514', 'Davis', '5', '20210504 14:27:28']
['514', 'Davis', '5', '20210504 14:27:58']
['514', 'Davis', '5', '20210504 14:28:41']
['518', 'Noyes', '1', '20210504 14:29:34']
['513', 'Wilson', '5', '20210504 14:30:21']
['514', 'Main', '5', '20210504 14:31:34']
['518', 'Central', '1', '20210504 14:31:27']
['514', 'Main', '5', '20210504 14:31:43']
['513', 'Sheridan', '5', '20210504 14:33:17']
['514', 'South Boulevard', '5', '20210504 14:33:34']
['515', 'Central', '5', '20210504 14:33:32']
['518', 'Linden', '1', '20210504 14:33:18']
['520', 'South Boulevard', '1', '20210504 14:33:19']
['513', 'Sheridan', '5', '20210504 14:33:17']
['514', 'Howard', '5', '20210504 14:34:20']
['515', 'Central', '5', '20210504 14:34:18']
['520', 'Main', '1', '20210504 14:33:55']
['520', 'Dempster', '1', '20210504 14:35:23']
['515', 'Davis', '5', '20210504 14:36:35']
['520', 'Dempster', '1', '20210504 14:35:23']
['515', 'Davis', '5', '20210504 14:37:23']
['515', 'Davis', '5', '20210504 14:38:22']
['515', 'Davis', '5', '20210504 14:39:35']
['520', 'Noyes', '1', '20210504 14:40:28']
['515', 'Main', '5', '20210504 14:41:23']
['513', 'Diversey', '5', '20210504 14:42:39']
['514', 'Wilson', '5', '20210504 14:42:27']
['515', 'Main', '5', '20210504 14:42:28']
['520', 'Central', '1', '20210504 14:42:25']
['513', 'Diversey', '5', '20210504 14:43:28']
['515', 'South Boulevard', '5', '20210504 14:43:18']
['513', 'Fullerton', '5', '20210504 14:44:09']
['515', 'Howard', '5', '20210504 14:44:01']
['520', 'Linden', '1', '20210504 14:44:10']
['514', 'Sheridan', '5', '20210504 14:45:32']
['519', 'Central', '5', '20210504 14:45:38']
['506', 'Main', '1', '20210504 14:46:38']
['513', 'Armitage', '5', '20210504 14:46:39']
['514', 'Sheridan', '5', '20210504 14:45:32']
['506', 'Main', '1', '20210504 14:47:30']
['513', 'Armitage', '5', '20210504 14:47:24']
['506', 'Dempster', '1', '20210504 14:47:57']
['519', 'Davis', '5', '20210504 14:48:21']
['519', 'Davis', '5', '20210504 14:49:00']
['513', 'Sedgwick', '5', '20210504 14:50:06']
['519', 'Davis', '5', '20210504 14:49:46']
['506', 'Foster', '1', '20210504 14:51:30']
['514', 'Belmont', '5', '20210504 14:51:30']
['506', 'Noyes', '1', '20210504 14:51:58']
