['501', 'Main', '5', '20210506 04:59:57']
['503', 'Main', '1', '20210506 05:00:03']
['501', 'South Boulevard', '5', '20210506 05:01:14']
['503', 'Dempster', '1', '20210506 05:01:37']
['501', 'Howard', '5', '20210506 05:02:29']
['503', 'Dempster', '1', '20210506 05:02:32']
['501', 'Howard', '5', '20210506 05:03:38']
['503', 'Foster', '1', '20210506 05:05:13']
['502', 'Central', '5', '20210506 05:05:50']
['503', 'Central', '1', '20210506 05:07:37']
['502', 'Davis', '5', '20210506 05:09:31']
['503', 'Linden', '1', '20210506 05:09:31']
['502', 'Davis', '5', '20210506 05:10:04']
['503', 'Linden', '1', '20210506 05:10:36']
['502', 'Davis', '5', '20210506 05:10:50']
['501', 'South Boulevard', '1', '20210506 05:13:19']
['502', 'Main', '5', '20210506 05:14:04']
['501', 'Dempster', '1', '20210506 05:15:18']
['502', 'South Boulevard', '5', '20210506 05:15:26']
['502', 'South Boulevard', '5', '20210506 05:16:00']
['501', 'Davis', '1', '20210506 05:17:38']
['502', 'Howard', '5', '20210506 05:16:48']
['501', 'Noyes', '1', '20210506 05:19:24']
['501', 'Central', '1', '20210506 05:21:35']
['501', 'Linden', '1', '20210506 05:21:42']
['501', 'Linden', '1', '20210506 05:23:04']
['503', 'Central', '5', '20210506 05:23:32']
['502', 'Wilson', '5', '20210506 05:25:37']
['503', 'Davis', '5', '20210506 05:25:38']
['503', 'Davis', '5', '20210506 05:26:27']
['503', 'Davis', '5', '20210506 05:27:29']
['504', 'South Boulevard', '1', '20210506 05:27:22']
['503', 'Davis', '5', '20210506 05:28:31']
['504', 'Main', '1', '20210506 05:27:56']
['502', 'Sheridan', '5', '20210506 05:29:38']
['504', 'Dempster', '1', '20210506 05:29:21']
['503', 'Main', '5', '20210506 05:30:27']
['504', 'Dempster', '1', '20210506 05:30:22']
['503', 'Main', '5', '20210506 05:31:26']
['502', 'Belmont', '5', '20210506 05:32:34']
['503', 'South Boulevard', '5', '20210506 05:32:24']
['502', 'Wellington', '5', '20210506 05:33:08']
['503', 'Howard', '5', '20210506 05:33:06']
['504', 'Noyes', '1', '20210506 05:33:32']
['502', 'Wellington', '5', '20210506 05:34:19']
['501', 'Central', '5', '20210506 05:34:51']
['502', 'Diversey', '5', '20210506 05:35:11']
['504', 'Central', '1', '20210506 05:35:33']
['504', 'Linden', '1', '20210506 05:36:01']
['504', 'Linden', '1', '20210506 05:37:17']
['501', 'Davis', '5', '20210506 05:38:31']
['502', 'Armitage', '5', '20210506 05:38:39']
['501', 'Davis', '5', '20210506 05:39:13']
['501', 'Davis', '5', '20210506 05:39:52']
['503', 'Wilson', '5', '20210506 05:41:34']
['506', 'South Boulevard', '1', '20210506 05:41:32']
['502', 'Sedgwick', '5', '20210506 05:42:10']
['503', 'Wilson', '5', '20210506 05:42:35']
['506', 'Main', '1', '20210506 05:42:03']
['501', 'Main', '5', '20210506 05:42:55']
['506', 'Dempster', '1', '20210506 05:43:31']
['501', 'South Boulevard', '5', '20210506 05:44:23']
['506', 'Dempster', '1', '20210506 05:44:31']
['501', 'Howard', '5', '20210506 05:45:31']
['502', 'Chicago', '5', '20210506 05:45:34']
['501', 'Howard', '5', '20210506 05:45:31']
['502', 'Merchandise Mart', '5', '20210506 05:47:38']
['506', 'Foster', '1', '20210506 05:47:15']
['502', 'Merchandise Mart', '5', '20210506 05:48:25']
['503', 'Belmont', '5', '20210506 05:48:33']
['506', 'Noyes', '1', '20210506 05:47:42']
['503', 'Wellington', '5', '20210506 05:49:35']
['506', 'Central', '1', '20210506 05:49:30']
['502', 'Clark/Lake', '5', '20210506 05:50:33']
['503', 'Diversey', '5', '20210506 05:50:28']
['506', 'Linden', '1', '20210506 05:49:57']
['502', 'State/Lake', '5', '20210506 05:51:13']
['503', 'Fullerton', '5', '20210506 05:51:38']
['504', 'Central', '5', '20210506 05:51:13']
['506', 'Linden', '1', '20210506 05:51:13']
['503', 'Fullerton', '5', '20210506 05:52:38']
['504', 'Central', '5', '20210506 05:52:01']
['502', 'Adams/Wabash', '5', '20210506 05:53:39']
['503', 'Armitage', '5', '20210506 05:53:39']
['501', 'Wilson', '5', '20210506 05:54:33']
['504', 'Davis', '5', '20210506 05:54:21']
['507', 'Main', '1', '20210506 05:54:39']
['502', 'Harold Washington Library-State/Van Buren', '5', '20210506 05:55:36']
['504', 'Davis', '5', '20210506 05:55:23']
['507', 'Main', '1', '20210506 05:54:39']
['502', 'LaSalle/Van Buren', '5', '20210506 05:56:18']
['504', 'Davis', '5', '20210506 05:56:11']
['507', 'Dempster', '1', '20210506 05:56:09']
['502', 'Quincy', '5', '20210506 05:57:20']
['503', 'Sedgwick', '5', '20210506 05:57:39']
['504', 'Davis', '5', '20210506 05:56:11']
['507', 'Dempster', '1', '20210506 05:57:09']
['502', 'Quincy', '5', '20210506 05:58:34']
['507', 'Davis', '1', '20210506 05:58:36']
['502', 'Washington/Wells', '5', '20210506 05:59:35']
['504', 'Main', '5', '20210506 05:59:11']
['502', 'Merchandise Mart', '1', '20210506 06:00:34']
['503', 'Chicago', '5', '20210506 06:00:37']
['504', 'South Boulevard', '5', '20210506 06:00:30']
['507', 'Noyes', '1', '20210506 06:00:22']
['502', 'Merchandise Mart', '1', '20210506 06:01:16']
['504', 'South Boulevard', '5', '20210506 06:01:01']
['501', 'Belmont', '5', '20210506 06:02:23']
['503', 'Merchandise Mart', '5', '20210506 06:02:39']
['504', 'Howard', '5', '20210506 06:01:41']
['507', 'Linden', '1', '20210506 06:02:37']
['501', 'Wellington', '5', '20210506 06:03:11']
['502', 'Chicago', '1', '20210506 06:03:26']
['507', 'Linden', '1', '20210506 06:02:37']
['501', 'Diversey', '5', '20210506 06:04:33']
['507', 'Linden', '1', '20210506 06:03:55']
['501', 'Diversey', '5', '20210506 06:05:01']
['503', 'State/Lake', '5', '20210506 06:05:39']
['501', 'Fullerton', '5', '20210506 06:06:20']
['502', 'Sedgwick', '1', '20210506 06:06:39']
['506', 'Central', '5', '20210506 06:06:26']
['509', 'Main', '1', '20210506 06:06:28']
['501', 'Fullerton', '5', '20210506 06:07:36']
['503', 'Washington/Wabash', '5', '20210506 06:07:30']
['509', 'Main', '1', '20210506 06:07:25']
['501', 'Armitage', '5', '20210506 06:08:29']
['503', 'Adams/Wabash', '5', '20210506 06:08:13']
['509', 'Dempster', '1', '20210506 06:07:51']
['503', 'Harold Washington Library-State/Van Buren', '5', '20210506 06:09:36']
['506', 'Davis', '5', '20210506 06:09:34']
['502', 'Armitage', '1', '20210506 06:10:29']
['503', 'LaSalle/Van Buren', '5', '20210506 06:10:19']
['504', 'Wilson', '5', '20210506 06:10:33']
['506', 'Davis', '5', '20210506 06:10:39']
['503', 'LaSalle/Van Buren', '5', '20210506 06:11:33']
['506', 'Davis', '5', '20210506 06:10:39']
['509', 'Foster', '1', '20210506 06:11:24']
['501', 'Sedgwick', '5', '20210506 06:12:36']
['502', 'Fullerton', '1', '20210506 06:12:31']
['503', 'Quincy', '5', '20210506 06:12:31']
['506', 'Dempster', '5', '20210506 06:12:12']
['509', 'Noyes', '1', '20210506 06:11:48']
['503', 'Washington/Wells', '5', '20210506 06:13:37']
['506', 'Main', '5', '20210506 06:13:26']
['509', 'Central', '1', '20210506 06:13:29']
['502', 'Diversey', '1', '20210506 06:14:35']
['506', 'Main', '5', '20210506 06:13:44']
['509', 'Linden', '1', '20210506 06:13:54']
['501', 'Chicago', '5', '20210506 06:15:37']
['502', 'Wellington', '1', '20210506 06:15:21']
['503', 'Merchandise Mart', '1', '20210506 06:15:38']
['506', 'South Boulevard', '5', '20210506 06:15:35']
['509', 'Linden', '1', '20210506 06:15:03']
['502', 'Wellington', '1', '20210506 06:16:20']
['506', 'Howard', '5', '20210506 06:16:20']
['510', 'South Boulevard', '1', '20210506 06:16:23']
['501', 'Merchandise Mart', '5', '20210506 06:17:35']
['502', 'Belmont', '1', '20210506 06:17:05']
['503', 'Chicago', '1', '20210506 06:17:33']
['504', 'Wellington', '5', '20210506 06:17:20']
['510', 'Main', '1', '20210506 06:16:55']
['501', 'Merchandise Mart', '5', '20210506 06:18:25']
['503', 'Chicago', '1', '20210506 06:18:38']
['504', 'Diversey', '5', '20210506 06:18:30']
['510', 'Dempster', '1', '20210506 06:18:18']
['504', 'Diversey', '5', '20210506 06:19:35']
['501', 'Clark/Lake', '5', '20210506 06:20:36']
['504', 'Fullerton', '5', '20210506 06:20:16']
['508', 'Central', '5', '20210506 06:20:02']
['510', 'Davis', '1', '20210506 06:20:34']
['501', 'State/Lake', '5', '20210506 06:21:07']
['503', 'Sedgwick', '1', '20210506 06:21:37']
['508', 'Central', '5', '20210506 06:20:59']
['504', 'Armitage', '5', '20210506 06:22:37']
['510', 'Noyes', '1', '20210506 06:22:17']
['501', 'Adams/Wabash', '5', '20210506 06:23:40']
['508', 'Davis', '5', '20210506 06:23:19']
['502', 'Wilson', '1', '20210506 06:24:20']
['506', 'Wilson', '5', '20210506 06:24:35']
['508', 'Davis', '5', '20210506 06:24:24']
['501', 'Harold Washington Library-State/Van Buren', '5', '20210506 06:25:29']
['503', 'Armitage', '1', '20210506 06:25:16']
['506', 'Wilson', '5', '20210506 06:25:34']
['508', 'Davis', '5', '20210506 06:24:59']
['510', 'Linden', '1', '20210506 06:25:19']
['501', 'LaSalle/Van Buren', '5', '20210506 06:26:20']
['504', 'Sedgwick', '5', '20210506 06:26:30']
['508', 'Dempster', '5', '20210506 06:26:27']
['510', 'Linden', '1', '20210506 06:26:38']
['501', 'Quincy', '5', '20210506 06:27:24']
