['514', 'Dempster', '1', '20210506 14:00:37']
['518', 'Davis', '5', '20210506 14:01:40']
['518', 'Davis', '5', '20210506 14:02:28']
['514', 'Noyes', '1', '20210506 14:03:35']
['518', 'Davis', '5', '20210506 14:03:35']
['518', 'Davis', '5', '20210506 14:04:35']
['514', 'Central', '1', '20210506 14:05:28']
['518', 'Main', '5', '20210506 14:06:27']
['514', 'Linden', '1', '20210506 14:07:12']
['518', 'Main', '5', '20210506 14:07:31']
['518', 'South Boulevard', '5', '20210506 14:08:21']
['513', 'Central', '5', '20210506 14:09:30']
['518', 'Howard', '5', '20210506 14:09:04']
['519', 'Main', '1', '20210506 14:09:22']
['519', 'Main', '1', '20210506 14:10:22']
['519', 'Dempster', '1', '20210506 14:10:48']
['513', 'Davis', '5', '20210506 14:12:34']
['518', 'Davis', '5', '20210426 14:12:56']
['519', 'Noyes', '1', '20210426 14:13:36']
['513', 'Davis', '5', '20210506 14:13:25']
['513', 'Davis', '5', '20210506 14:13:25']
['513', 'Dempster', '5', '20210506 14:15:03']
['519', 'Noyes', '1', '20210506 14:15:10']
['513', 'Main', '5', '20210506 14:16:25']
['513', 'Main', '5', '20210506 14:17:26']
['513', 'South Boulevard', '5', '20210506 14:18:15']
['513', 'Howard', '5', '20210506 14:18:52']
['519', 'Linden', '1', '20210506 14:19:39']
['514', 'Central', '5', '20210506 14:23:05']
['518', 'South Boulevard', '1', '20210506 14:23:21']
['514', 'Central', '5', '20210506 14:23:50']
['518', 'Main', '1', '20210506 14:23:54']
['518', 'Dempster', '1', '20210506 14:25:23']
['514', 'Davis', '5', '20210506 14:26:12']
['518', 'Dempster', '1', '20210506 14:26:21']
['514', 'Davis', '5', '20210506 14:27:20']
['513', 'Wilson', '5', '20210506 14:28:20']
['514', 'Davis', '5', '20210506 14:28:00']
['513', 'Wilson', '5', '20210506 14:28:20']
['514', 'Dempster', '5', '20210506 14:29:37']
['518', 'Noyes', '1', '20210506 14:29:35']
['513', 'Wilson', '5', '20210506 14:30:28']
['514', 'Dempster', '5', '20210506 14:29:37']
['514', 'Main', '5', '20210506 14:31:09']
['515', 'Central', '5', '20210506 14:31:37']
['518', 'Central', '1', '20210506 14:31:37']
['513', 'Sheridan', '5', '20210506 14:32:21']
['514', 'South Boulevard', '5', '20210506 14:32:38']
['515', 'Central', '5', '20210506 14:32:31']
['513', 'Sheridan', '5', '20210506 14:32:21']
['514', 'South Boulevard', '5', '20210506 14:33:09']
['518', 'Linden', '1', '20210506 14:32:51']
['514', 'Howard', '5', '20210506 14:33:55']
['520', 'Main', '1', '20210506 14:34:38']
['515', 'Davis', '5', '20210506 14:35:30']
['520', 'Main', '1', '20210506 14:34:38']
['513', 'Belmont', '5', '20210506 14:36:36']
['515', 'Davis', '5', '20210506 14:36:19']
['520', 'Dempster', '1', '20210506 14:36:10']
['513', 'Wellington', '5', '20210506 14:37:23']
['515', 'Davis', '5', '20210506 14:37:30']
['520', 'Dempster', '1', '20210506 14:37:32']
['513', 'Diversey', '5', '20210506 14:38:17']
['515', 'Dempster', '5', '20210506 14:37:48']
['513', 'Fullerton', '5', '20210506 14:39:25']
['515', 'Main', '5', '20210506 14:39:24']
['515', 'Main', '5', '20210506 14:40:26']
['513', 'Armitage', '5', '20210506 14:41:33']
['515', 'South Boulevard', '5', '20210506 14:41:16']
['520', 'Noyes', '1', '20210506 14:41:03']
['514', 'Wilson', '5', '20210506 14:42:37']
['515', 'Howard', '5', '20210506 14:41:57']
['514', 'Wilson', '5', '20210506 14:43:38']
['513', 'Sedgwick', '5', '20210506 14:44:28']
['514', 'Sheridan', '5', '20210506 14:45:39']
['520', 'Linden', '1', '20210506 14:45:39']
['514', 'Sheridan', '5', '20210506 14:45:39']
['519', 'Central', '5', '20210506 14:46:00']
['506', 'South Boulevard', '1', '20210506 14:47:32']
['513', 'Chicago', '5', '20210506 14:47:29']
['506', 'Main', '1', '20210506 14:48:04']
['513', 'Chicago', '5', '20210506 14:48:20']
['506', 'Dempster', '1', '20210506 14:49:37']
['513', 'Merchandise Mart', '5', '20210506 14:49:36']
['519', 'Davis', '5', '20210506 14:49:16']
['506', 'Dempster', '1', '20210506 14:50:38']
['513', 'Merchandise Mart', '5', '20210506 14:50:21']
['514', 'Belmont', '5', '20210506 14:50:33']
['515', 'Wilson', '5', '20210506 14:50:35']
['519', 'Davis', '5', '20210506 14:50:23']
['514', 'Wellington', '5', '20210506 14:51:21']
['515', 'Wilson', '5', '20210506 14:51:35']
['519', 'Davis', '5', '20210506 14:51:10']
['513', 'Clark/Lake', '5', '20210506 14:51:58']
['514', 'Diversey', '5', '20210506 14:52:28']
['519', 'Davis', '5', '20210506 14:52:20']
['506', 'Foster', '1', '20210506 14:53:23']
['513', 'Clark/Lake', '5', '20210506 14:53:25']
['514', 'Diversey', '5', '20210506 14:53:30']
['519', 'Dempster', '5', '20210506 14:52:41']
['506', 'Noyes', '1', '20210506 14:53:44']
['513', 'State/Lake', '5', '20210506 14:54:17']
['514', 'Fullerton', '5', '20210506 14:54:39']
['515', 'Sheridan', '5', '20210506 14:53:52']
['519', 'Main', '5', '20210506 14:54:14']
['519', 'Main', '5', '20210506 14:55:26']
['506', 'Linden', '1', '20210506 14:56:07']
['513', 'Washington/Wabash', '5', '20210506 14:56:28']
['514', 'Armitage', '5', '20210506 14:56:36']
['518', 'Central', '5', '20210506 14:56:34']
['519', 'South Boulevard', '5', '20210506 14:56:16']
['506', 'Linden', '1', '20210506 14:57:29']
['513', 'Adams/Wabash', '5', '20210506 14:57:38']
['518', 'Central', '5', '20210506 14:57:29']
['519', 'Howard', '5', '20210506 14:57:04']
['506', 'Linden', '1', '20210506 14:58:24']
['513', 'Harold Washington Library-State/Van Buren', '5', '20210506 14:58:37']
['515', 'Wellington', '5', '20210506 14:58:15']
['508', 'Main', '1', '20210506 14:59:38']
['513', 'Harold Washington Library-State/Van Buren', '5', '20210506 14:59:38']
['514', 'Sedgwick', '5', '20210506 14:59:20']
['515', 'Diversey', '5', '20210506 14:59:34']
['508', 'Main', '1', '20210506 15:00:38']
