['514', 'Davis', '1', '20210507 14:00:33']
['517', 'Main', '5', '20210507 14:00:22']
['518', 'Central', '5', '20210507 14:00:14']
['517', 'South Boulevard', '5', '20210507 14:01:13']
['514', 'Noyes', '1', '20210507 14:02:23']
['517', 'Howard', '5', '20210507 14:01:57']
['518', 'Davis', '5', '20210507 14:02:23']
['518', 'Davis', '5', '20210507 14:03:28']
['518', 'Davis', '5', '20210507 14:04:12']
['518', 'Davis', '5', '20210507 14:04:12']
['514', 'Linden', '1', '20210507 14:05:49']
['518', 'Davis', '5', '20210507 14:05:41']
['518', 'Dempster', '5', '20210507 14:07:02']
['518', 'Main', '5', '20210507 14:08:37']
['513', 'Central', '5', '20210507 14:09:23']
['518', 'Main', '5', '20210507 14:09:35']
['513', 'Central', '5', '20210507 14:10:11']
['518', 'South Boulevard', '5', '20210507 14:10:24']
['518', 'Howard', '5', '20210507 14:11:04']
['513', 'Davis', '5', '20210507 14:12:32']
['513', 'Davis', '5', '20210507 14:13:39']
['519', 'South Boulevard', '1', '20210507 14:13:18']
['513', 'Davis', '5', '20210507 14:14:13']
['519', 'Main', '1', '20210507 14:13:51']
['513', 'Dempster', '5', '20210507 14:15:36']
['519', 'Dempster', '1', '20210507 14:15:15']
['513', 'Dempster', '5', '20210507 14:15:36']
['513', 'Main', '5', '20210507 14:17:04']
['519', 'Davis', '1', '20210507 14:17:35']
['513', 'South Boulevard', '5', '20210507 14:18:23']
['513', 'Howard', '5', '20210507 14:19:32']
['519', 'Noyes', '1', '20210507 14:19:24']
['513', 'Howard', '5', '20210507 14:20:38']
['514', 'Central', '5', '20210507 14:22:25']
['514', 'Central', '5', '20210507 14:23:13']
['518', 'South Boulevard', '1', '20210507 14:23:31']
['519', 'Linden', '1', '20210507 14:22:52']
['518', 'Main', '1', '20210507 14:24:07']
['514', 'Davis', '5', '20210507 14:25:28']
['518', 'Dempster', '1', '20210507 14:25:31']
['514', 'Davis', '5', '20210507 14:26:29']
['518', 'Dempster', '1', '20210507 14:26:26']
['514', 'Davis', '5', '20210507 14:27:17']
['518', 'Davis', '1', '20210507 14:27:39']
['514', 'Davis', '5', '20210507 14:28:29']
['513', 'Wilson', '5', '20210507 14:29:40']
['514', 'Dempster', '5', '20210507 14:28:53']
['514', 'Main', '5', '20210507 14:30:27']
['518', 'Noyes', '1', '20210507 14:30:02']
['514', 'Main', '5', '20210507 14:31:27']
['513', 'Sheridan', '5', '20210507 14:32:33']
['514', 'South Boulevard', '5', '20210507 14:32:19']
['513', 'Sheridan', '5', '20210507 14:32:41']
['514', 'Howard', '5', '20210507 14:33:06']
['518', 'Linden', '1', '20210507 14:33:37']
['515', 'Central', '5', '20210507 14:34:28']
['518', 'Linden', '1', '20210507 14:34:28']
['520', 'Main', '1', '20210507 14:36:34']
['513', 'Belmont', '5', '20210507 14:37:12']
['515', 'Davis', '5', '20210507 14:37:35']
['520', 'Main', '1', '20210507 14:36:42']
['513', 'Wellington', '5', '20210507 14:38:28']
['515', 'Davis', '5', '20210507 14:38:29']
['520', 'Dempster', '1', '20210507 14:38:14']
['513', 'Diversey', '5', '20210507 14:39:39']
['515', 'Davis', '5', '20210507 14:39:35']
['520', 'Dempster', '1', '20210507 14:39:38']
['513', 'Diversey', '5', '20210507 14:40:07']
['515', 'Dempster', '5', '20210507 14:39:54']
['520', 'Davis', '1', '20210507 14:40:01']
['513', 'Fullerton', '5', '20210507 14:41:18']
['514', 'Wilson', '5', '20210507 14:41:39']
['515', 'Main', '5', '20210507 14:41:21']
['514', 'Wilson', '5', '20210507 14:42:39']
['515', 'Main', '5', '20210507 14:42:23']
['513', 'Armitage', '5', '20210507 14:43:39']
['515', 'South Boulevard', '5', '20210507 14:43:12']
['520', 'Noyes', '1', '20210507 14:43:08']
['515', 'Howard', '5', '20210507 14:43:56']
['514', 'Sheridan', '5', '20210507 14:45:10']
['519', 'Central', '5', '20210507 14:45:39']
['514', 'Sheridan', '5', '20210507 14:46:35']
['513', 'Sedgwick', '5', '20210507 14:47:33']
['520', 'Linden', '1', '20210507 14:46:54']
['514', 'Belmont', '5', '20210507 14:48:34']
['519', 'Davis', '5', '20210507 14:48:23']
['506', 'South Boulevard', '1', '20210507 14:49:27']
