['501', 'Howard', '5', '20210510 05:00:16']
['503', 'Main', '1', '20210510 05:00:31']
['503', 'Foster', '1', '20210510 05:04:19']
['503', 'Noyes', '1', '20210510 05:04:45']
['503', 'Central', '1', '20210510 05:06:33']
['503', 'Linden', '1', '20210510 05:06:54']
['502', 'Central', '5', '20210510 05:07:49']
['503', 'Linden', '1', '20210510 05:08:07']
['1000', 'South Boulevard', '1', '20210510 05:11:36']
['502', 'Davis', '5', '20210510 05:11:28']
['1000', 'Main', '1', '20210510 05:11:42']
['502', 'Davis', '5', '20210510 05:12:08']
['502', 'Davis', '5', '20210510 05:12:49']
['502', 'Dempster', '5', '20210510 05:14:20']
['1000', 'Davis', '1', '20210510 05:15:38']
['502', 'Dempster', '5', '20210510 05:14:20']
['502', 'Main', '5', '20210510 05:15:53']
['1000', 'Noyes', '1', '20210510 05:17:27']
['502', 'South Boulevard', '5', '20210510 05:17:19']
['502', 'Howard', '5', '20210510 05:18:30']
['1000', 'Central', '1', '20210510 05:19:37']
['502', 'Howard', '5', '20210510 05:19:35']
['501', 'Linden', '1', '20210510 05:21:24']
['503', 'Central', '5', '20210510 05:22:08']
['503', 'Central', '5', '20210510 05:22:56']
['503', 'Davis', '5', '20210510 05:25:14']
['503', 'Davis', '5', '20210510 05:26:22']
['504', 'South Boulevard', '1', '20210510 05:26:26']
['502', 'Wilson', '5', '20210510 05:27:39']
['503', 'Davis', '5', '20210510 05:27:02']
['504', 'Main', '1', '20210510 05:26:59']
['503', 'Dempster', '5', '20210510 05:28:32']
['502', 'Sheridan', '5', '20210510 05:29:21']
['503', 'Dempster', '5', '20210510 05:28:32']
['504', 'Dempster', '1', '20210510 05:29:34']
['502', 'Sheridan', '5', '20210510 05:30:23']
['503', 'Main', '5', '20210510 05:29:58']
['503', 'South Boulevard', '5', '20210510 05:31:22']
['502', 'Belmont', '5', '20210510 05:32:22']
['503', 'Howard', '5', '20210510 05:32:36']
['504', 'Foster', '1', '20210510 05:32:35']
['502', 'Wellington', '5', '20210510 05:33:20']
['503', 'Howard', '5', '20210510 05:33:39']
['504', 'Noyes', '1', '20210510 05:33:02']
['502', 'Wellington', '5', '20210510 05:34:40']
['502', 'Diversey', '5', '20210510 05:35:31']
['504', 'Linden', '1', '20210510 05:35:21']
['501', 'Central', '5', '20210510 05:36:23']
['504', 'Linden', '1', '20210510 05:36:37']
['501', 'Central', '5', '20210510 05:37:13']
['502', 'Fullerton', '5', '20210510 05:37:34']
['504', 'Linden', '1', '20210510 05:37:35']
['501', 'Davis', '5', '20210510 05:39:35']
['502', 'Armitage', '5', '20210510 05:39:35']
['501', 'Davis', '5', '20210510 05:40:25']
['501', 'Davis', '5', '20210510 05:41:37']
['503', 'Wilson', '5', '20210510 05:41:34']
['501', 'Davis', '5', '20210510 05:41:37']
['501', 'Dempster', '5', '20210510 05:43:09']
['502', 'Sedgwick', '5', '20210510 05:43:08']
['503', 'Sheridan', '5', '20210510 05:43:36']
['506', 'South Boulevard', '1', '20210510 05:43:38']
['501', 'Main', '5', '20210510 05:44:37']
['503', 'Sheridan', '5', '20210510 05:43:36']
['506', 'Main', '1', '20210510 05:43:45']
['501', 'Main', '5', '20210510 05:44:37']
['501', 'South Boulevard', '5', '20210510 05:46:33']
['502', 'Chicago', '5', '20210510 05:46:31']
['506', 'Dempster', '1', '20210510 05:46:28']
['501', 'Howard', '5', '20210510 05:47:18']
['502', 'Chicago', '5', '20210510 05:47:20']
['503', 'Wellington', '5', '20210510 05:47:39']
['501', 'Howard', '5', '20210510 05:47:18']
['503', 'Wellington', '5', '20210510 05:48:18']
['502', 'Merchandise Mart', '5', '20210510 05:49:35']
['503', 'Diversey', '5', '20210510 05:49:11']
['504', 'Central', '5', '20210510 05:49:12']
['506', 'Foster', '1', '20210510 05:49:22']
['504', 'Central', '5', '20210510 05:50:02']
['506', 'Noyes', '1', '20210510 05:49:47']
['502', 'Clark/Lake', '5', '20210510 05:51:22']
['502', 'State/Lake', '5', '20210510 05:52:19']
['503', 'Armitage', '5', '20210510 05:52:40']
['504', 'Davis', '5', '20210510 05:52:14']
['506', 'Linden', '1', '20210510 05:52:14']
['504', 'Davis', '5', '20210510 05:53:18']
['506', 'Linden', '1', '20210510 05:53:39']
['507', 'Main', '1', '20210510 05:53:28']
['502', 'Adams/Wabash', '5', '20210510 05:54:38']
['504', 'Davis', '5', '20210510 05:53:52']
['506', 'Linden', '1', '20210510 05:54:33']
['507', 'Main', '1', '20210510 05:54:29']
['508', 'South Boulevard', '1', '20210510 05:54:14']
['502', 'Adams/Wabash', '5', '20210510 05:55:32']
['504', 'Dempster', '5', '20210510 05:55:19']
['508', 'South Boulevard', '1', '20210510 05:54:14']
['501', 'Wilson', '5', '20210510 05:56:35']
['502', 'Harold Washington Library-State/Van Buren', '5', '20210510 05:56:27']
['503', 'Sedgwick', '5', '20210510 05:56:32']
['504', 'Dempster', '5', '20210510 05:56:38']
['508', 'Main', '1', '20210510 05:56:24']
['502', 'LaSalle/Van Buren', '5', '20210510 05:57:32']
['504', 'Main', '5', '20210510 05:56:50']
['502', 'Quincy', '5', '20210510 05:58:36']
['504', 'South Boulevard', '5', '20210510 05:58:18']
['507', 'Foster', '1', '20210510 05:58:27']
['501', 'Sheridan', '5', '20210510 05:58:55']
['502', 'Quincy', '5', '20210510 05:59:36']
['503', 'Chicago', '5', '20210510 05:59:27']
['504', 'Howard', '5', '20210510 05:59:36']
['507', 'Noyes', '1', '20210510 05:58:50']
['502', 'Washington/Wells', '5', '20210510 06:00:31']
['504', 'Howard', '5', '20210510 05:59:36']
['507', 'Central', '1', '20210510 06:00:40']
['508', 'Foster', '1', '20210510 06:00:34']
['503', 'Merchandise Mart', '5', '20210510 06:01:23']
['507', 'Linden', '1', '20210510 06:01:07']
['508', 'Noyes', '1', '20210510 06:01:07']
['501', 'Belmont', '5', '20210510 06:02:35']
['502', 'Merchandise Mart', '1', '20210510 06:01:53']
['507', 'Linden', '1', '20210510 06:02:39']
['508', 'Central', '1', '20210510 06:02:26']
['501', 'Wellington', '5', '20210510 06:03:10']
['503', 'Clark/Lake', '5', '20210510 06:03:33']
['507', 'Linden', '1', '20210510 06:03:34']
['508', 'Central', '1', '20210510 06:02:26']
['501', 'Diversey', '5', '20210510 06:04:38']
['503', 'State/Lake', '5', '20210510 06:04:35']
['506', 'Central', '5', '20210510 06:04:38']
['508', 'Linden', '1', '20210510 06:04:09']
['501', 'Diversey', '5', '20210510 06:05:35']
['502', 'Chicago', '1', '20210510 06:05:13']
['506', 'Central', '5', '20210510 06:05:18']
['508', 'Linden', '1', '20210510 06:05:09']
['503', 'Washington/Wabash', '5', '20210510 06:06:34']
['503', 'Adams/Wabash', '5', '20210510 06:07:17']
['506', 'Davis', '5', '20210510 06:07:36']
['509', 'Main', '1', '20210510 06:07:16']
['501', 'Armitage', '5', '20210510 06:08:33']
['502', 'Sedgwick', '1', '20210510 06:08:32']
['503', 'Harold Washington Library-State/Van Buren', '5', '20210510 06:08:38']
['504', 'Wilson', '5', '20210510 06:08:37']
['506', 'Davis', '5', '20210510 06:08:25']
['509', 'Main', '1', '20210510 06:08:36']
['503', 'LaSalle/Van Buren', '5', '20210510 06:09:38']
['504', 'Wilson', '5', '20210510 06:09:34']
['506', 'Davis', '5', '20210510 06:09:31']
['503', 'Quincy', '5', '20210510 06:10:38']
['506', 'Davis', '5', '20210510 06:10:40']
['502', 'Armitage', '1', '20210510 06:11:37']
['503', 'Quincy', '5', '20210510 06:11:35']
['504', 'Sheridan', '5', '20210510 06:11:17']
['506', 'Dempster', '5', '20210510 06:11:04']
['509', 'Davis', '1', '20210510 06:11:33']
['501', 'Sedgwick', '5', '20210510 06:12:40']
['502', 'Armitage', '1', '20210510 06:12:34']
['503', 'Washington/Wells', '5', '20210510 06:12:35']
['506', 'Dempster', '5', '20210510 06:12:29']
['506', 'Main', '5', '20210510 06:12:43']
['509', 'Noyes', '1', '20210510 06:13:17']
['502', 'Fullerton', '1', '20210510 06:14:24']
['503', 'Merchandise Mart', '1', '20210510 06:14:38']
['504', 'Belmont', '5', '20210510 06:14:14']
['506', 'South Boulevard', '5', '20210510 06:14:09']
['501', 'Chicago', '5', '20210510 06:15:28']
['502', 'Diversey', '1', '20210510 06:15:39']
['504', 'Wellington', '5', '20210510 06:15:15']
['506', 'Howard', '5', '20210510 06:15:28']
['509', 'Linden', '1', '20210510 06:15:27']
['502', 'Diversey', '1', '20210510 06:16:34']
['503', 'Chicago', '1', '20210510 06:16:21']
['504', 'Diversey', '5', '20210510 06:16:38']
['506', 'Howard', '5', '20210510 06:16:38']
['509', 'Linden', '1', '20210510 06:15:27']
['501', 'Merchandise Mart', '5', '20210510 06:17:33']
['502', 'Wellington', '1', '20210510 06:16:57']
['504', 'Diversey', '5', '20210510 06:17:33']
['509', 'Linden', '1', '20210510 06:17:33']
['502', 'Belmont', '1', '20210510 06:18:30']
['510', 'Main', '1', '20210510 06:18:26']
['503', 'Sedgwick', '1', '20210510 06:19:31']
['510', 'Main', '1', '20210510 06:19:30']
['501', 'Clark/Lake', '5', '20210510 06:19:49']
['503', 'Sedgwick', '1', '20210510 06:20:35']
['504', 'Armitage', '5', '20210510 06:20:34']
['508', 'Central', '5', '20210510 06:20:39']
['501', 'State/Lake', '5', '20210510 06:21:36']
['508', 'Central', '5', '20210510 06:21:31']
['501', 'State/Lake', '5', '20210510 06:22:33']
['501', 'Washington/Wabash', '5', '20210510 06:23:33']
['503', 'Armitage', '1', '20210510 06:23:39']
['510', 'Foster', '1', '20210510 06:23:27']
['501', 'Adams/Wabash', '5', '20210510 06:24:39']
['503', 'Armitage', '1', '20210510 06:24:35']
['504', 'Sedgwick', '5', '20210510 06:24:32']
['506', 'Wilson', '5', '20210510 06:24:32']
['508', 'Davis', '5', '20210510 06:24:36']
['510', 'Noyes', '1', '20210510 06:23:53']
['502', 'Wilson', '1', '20210510 06:25:24']
['503', 'Fullerton', '1', '20210510 06:25:40']
['508', 'Davis', '5', '20210510 06:25:36']
['501', 'Harold Washington Library-State/Van Buren', '5', '20210510 06:26:38']
['508', 'Davis', '5', '20210510 06:26:39']
['510', 'Linden', '1', '20210510 06:26:04']
['501', 'LaSalle/Van Buren', '5', '20210510 06:27:21']
['503', 'Diversey', '1', '20210510 06:27:33']
['504', 'Chicago', '5', '20210510 06:27:35']
['506', 'Sheridan', '5', '20210510 06:26:56']
['508', 'Dempster', '5', '20210510 06:27:02']
['510', 'Linden', '1', '20210510 06:27:22']
['501', 'Quincy', '5', '20210510 06:28:25']
['503', 'Diversey', '1', '20210510 06:28:19']
['508', 'Main', '5', '20210510 06:28:36']
['510', 'Linden', '1', '20210510 06:28:17']
['501', 'Quincy', '5', '20210510 06:29:38']
['503', 'Wellington', '1', '20210510 06:29:18']
['504', 'Merchandise Mart', '5', '20210510 06:29:35']
['508', 'Main', '5', '20210510 06:28:36']
['501', 'Washington/Wells', '5', '20210510 06:30:37']
['503', 'Belmont', '1', '20210510 06:30:34']
['506', 'Belmont', '5', '20210510 06:30:38']
['508', 'Main', '5', '20210510 06:28:36']
['506', 'Wellington', '5', '20210510 06:31:37']
['508', 'Howard', '5', '20210510 06:31:15']
['504', 'Clark/Lake', '5', '20210510 06:31:51']
['506', 'Diversey', '5', '20210510 06:32:29']
['504', 'Clark/Lake', '5', '20210510 06:31:51']
['504', 'State/Lake', '5', '20210510 06:34:14']
['506', 'Fullerton', '5', '20210510 06:34:38']
['509', 'Central', '5', '20210510 06:34:29']
