['501', 'South Boulevard', '5', '20210511 05:00:09']
['503', 'Main', '1', '20210511 05:00:23']
['501', 'Howard', '5', '20210511 05:01:21']
['503', 'Dempster', '1', '20210511 05:01:38']
['503', 'Noyes', '1', '20210511 05:04:36']
['502', 'Central', '5', '20210511 05:06:10']
['503', 'Central', '1', '20210511 05:06:38']
['502', 'Central', '5', '20210511 05:06:59']
['503', 'Linden', '1', '20210511 05:08:00']
['502', 'Davis', '5', '20210511 05:09:32']
['502', 'Davis', '5', '20210511 05:10:38']
['502', 'Davis', '5', '20210511 05:11:19']
['502', 'Davis', '5', '20210511 05:12:24']
['1000', 'Main', '1', '20210511 05:13:35']
['1000', 'Main', '1', '20210511 05:14:37']
['502', 'Main', '5', '20210511 05:14:21']
['1000', 'Dempster', '1', '20210511 05:15:02']
['502', 'Main', '5', '20210511 05:15:27']
['1000', 'Dempster', '1', '20210511 05:16:34']
['502', 'South Boulevard', '5', '20210511 05:16:20']
['502', 'Howard', '5', '20210511 05:16:58']
['501', 'Foster', '1', '20210511 05:19:22']
['501', 'Noyes', '1', '20210511 05:19:46']
['503', 'Central', '5', '20210511 05:21:09']
['503', 'Central', '5', '20210511 05:21:59']
['501', 'Linden', '1', '20210511 05:23:35']
['501', 'Linden', '1', '20210511 05:24:30']
['503', 'Davis', '5', '20210511 05:24:17']
['502', 'Wilson', '5', '20210511 05:25:38']
['503', 'Davis', '5', '20210511 05:25:25']
['503', 'Davis', '5', '20210511 05:26:01']
['502', 'Sheridan', '5', '20210511 05:28:38']
['502', 'Sheridan', '5', '20210511 05:28:38']
['503', 'Main', '5', '20210511 05:28:49']
['504', 'Main', '1', '20210511 05:29:35']
['503', 'South Boulevard', '5', '20210511 05:30:12']
['504', 'Main', '1', '20210511 05:30:34']
['503', 'Howard', '5', '20210511 05:31:22']
['504', 'Dempster', '1', '20210511 05:31:00']
['502', 'Belmont', '5', '20210511 05:32:37']
['502', 'Wellington', '5', '20210511 05:32:58']
['502', 'Diversey', '5', '20210511 05:34:38']
['504', 'Foster', '1', '20210511 05:34:28']
['502', 'Diversey', '5', '20210511 05:35:12']
['504', 'Noyes', '1', '20210511 05:34:53']
['501', 'Central', '5', '20210511 05:36:05']
['502', 'Fullerton', '5', '20210511 05:36:35']
['504', 'Central', '1', '20210511 05:36:35']
['501', 'Central', '5', '20210511 05:36:58']
['502', 'Armitage', '5', '20210511 05:38:28']
['504', 'Linden', '1', '20210511 05:38:13']
['501', 'Davis', '5', '20210511 05:39:16']
['501', 'Davis', '5', '20210511 05:40:22']
['503', 'Wilson', '5', '20210511 05:40:36']
['501', 'Davis', '5', '20210511 05:41:07']
['501', 'Dempster', '5', '20210511 05:42:36']
['502', 'Sedgwick', '5', '20210511 05:42:09']
['503', 'Sheridan', '5', '20210511 05:42:33']
['501', 'Dempster', '5', '20210511 05:42:36']
['503', 'Sheridan', '5', '20210511 05:42:33']
['506', 'Main', '1', '20210511 05:43:15']
['501', 'Main', '5', '20210511 05:44:03']
['506', 'Main', '1', '20210511 05:44:23']
['501', 'South Boulevard', '5', '20210511 05:45:25']
['502', 'Chicago', '5', '20210511 05:45:35']
['506', 'Dempster', '1', '20210511 05:44:47']
['501', 'South Boulevard', '5', '20210511 05:45:55']
['502', 'Chicago', '5', '20210511 05:46:31']
['503', 'Belmont', '5', '20210511 05:45:51']
['501', 'Howard', '5', '20210511 05:46:40']
['503', 'Belmont', '5', '20210511 05:47:35']
['502', 'Merchandise Mart', '5', '20210511 05:48:23']
['503', 'Wellington', '5', '20210511 05:48:17']
['503', 'Diversey', '5', '20210511 05:49:38']
['506', 'Noyes', '1', '20210511 05:49:10']
['503', 'Diversey', '5', '20210511 05:50:07']
['504', 'Central', '5', '20210511 05:50:40']
['502', 'Clark/Lake', '5', '20210511 05:50:42']
['503', 'Fullerton', '5', '20210511 05:51:24']
['506', 'Central', '1', '20210511 05:51:34']
['502', 'State/Lake', '5', '20210511 05:52:33']
['503', 'Fullerton', '5', '20210511 05:52:38']
['502', 'State/Lake', '5', '20210511 05:53:04']
['504', 'Davis', '5', '20210511 05:53:25']
['506', 'Linden', '1', '20210511 05:53:04']
['507', 'South Boulevard', '1', '20210511 05:53:21']
['503', 'Armitage', '5', '20210511 05:54:28']
['504', 'Davis', '5', '20210511 05:54:02']
['507', 'Main', '1', '20210511 05:53:56']
['501', 'Wilson', '5', '20210511 05:55:38']
['502', 'Adams/Wabash', '5', '20210511 05:55:37']
['503', 'Armitage', '5', '20210511 05:55:38']
['504', 'Davis', '5', '20210511 05:54:44']
['507', 'Dempster', '1', '20210511 05:55:20']
['504', 'Dempster', '5', '20210511 05:56:09']
['502', 'Harold Washington Library-State/Van Buren', '5', '20210511 05:57:39']
['504', 'Main', '5', '20210511 05:57:38']
['501', 'Sheridan', '5', '20210511 05:57:50']
['502', 'LaSalle/Van Buren', '5', '20210511 05:58:20']
['504', 'Main', '5', '20210511 05:58:37']
['502', 'Quincy', '5', '20210511 05:59:11']
['503', 'Sedgwick', '5', '20210511 05:59:39']
['504', 'South Boulevard', '5', '20210511 05:59:27']
['507', 'Noyes', '1', '20210511 05:59:36']
['502', 'Washington/Wells', '5', '20210511 06:00:31']
['504', 'Howard', '5', '20210511 06:00:06']
['507', 'Noyes', '1', '20210511 05:59:36']
['501', 'Belmont', '5', '20210511 06:01:35']
['501', 'Wellington', '5', '20210511 06:02:08']
['503', 'Chicago', '5', '20210511 06:02:35']
['501', 'Diversey', '5', '20210511 06:03:31']
['502', 'Merchandise Mart', '1', '20210511 06:03:14']
['501', 'Diversey', '5', '20210511 06:04:24']
['503', 'Merchandise Mart', '5', '20210511 06:04:33']
['507', 'Linden', '1', '20210511 06:04:30']
['501', 'Fullerton', '5', '20210511 06:05:37']
['502', 'Chicago', '1', '20210511 06:05:32']
['503', 'Merchandise Mart', '5', '20210511 06:05:20']
['506', 'Central', '5', '20210511 06:05:26']
['506', 'Central', '5', '20210511 06:06:19']
['509', 'South Boulevard', '1', '20210511 06:06:33']
['501', 'Armitage', '5', '20210511 06:07:26']
['503', 'Clark/Lake', '5', '20210511 06:07:01']
['506', 'Central', '5', '20210511 06:06:19']
['509', 'Main', '1', '20210511 06:07:06']
['501', 'Armitage', '5', '20210511 06:07:45']
['502', 'Sedgwick', '1', '20210511 06:08:28']
['503', 'State/Lake', '5', '20210511 06:08:24']
['504', 'Wilson', '5', '20210511 06:08:36']
['506', 'Central', '5', '20210511 06:06:19']
['509', 'Dempster', '1', '20210511 06:08:27']
['502', 'Sedgwick', '1', '20210511 06:09:38']
['504', 'Wilson', '5', '20210511 06:09:33']
['506', 'Central', '5', '20210511 06:06:19']
['509', 'Dempster', '1', '20210511 06:09:20']
['503', 'Adams/Wabash', '5', '20210511 06:10:39']
