['502', 'Davis', '0', '5', '20210511 13:27:26']
['502', 'Davis', '1', '5', '20210511 13:28:25']
['517', 'South Boulevard', '1', '1', '20210511 13:28:18']
['502', 'Davis', '1', '5', '20210511 13:29:37']
['517', 'Main', '1', '1', '20210511 13:28:54']
['502', 'Davis', '1', '5', '20210511 13:29:37']
['517', 'Main', '1', '1', '20210511 13:30:14']
['502', 'Dempster', '1', '5', '20210511 13:31:04']
['517', 'Dempster', '1', '1', '20210511 13:30:40']
['502', 'Main', '1', '5', '20210511 13:32:42']
['517', 'Davis', '0', '1', '20210511 13:33:12']
['502', 'Main', '1', '5', '20210511 13:32:42']
['517', 'Foster', '0', '1', '20210511 13:34:24']
['502', 'South Boulevard', '1', '5', '20210511 13:34:32']
['517', 'Foster', '0', '1', '20210511 13:34:24']
['502', 'Howard', '1', '5', '20210511 13:35:10']
['517', 'Noyes', '1', '1', '20210511 13:35:07']
['516', 'Central', '1', '5', '20210511 13:36:05']
['517', 'Central', '0', '1', '20210511 13:37:11']
['518', 'South Boulevard', '1', '1', '20210511 13:36:38']
