['514', 'Dempster', '1', '1', '20210512 14:00:38']
['518', 'Central', '1', '5', '20210512 14:00:03']
['514', 'Davis', '0', '1', '20210512 14:02:00']
['518', 'Davis', '0', '5', '20210512 14:01:45']
['514', 'Davis', '1', '1', '20210512 14:02:05']
['518', 'Davis', '0', '5', '20210512 14:01:45']
['514', 'Foster', '1', '1', '20210512 14:03:37']
['518', 'Davis', '1', '5', '20210512 14:03:36']
['514', 'Noyes', '1', '1', '20210512 14:03:49']
['518', 'Davis', '1', '5', '20210512 14:03:57']
['514', 'Central', '0', '1', '20210512 14:05:53']
['518', 'Dempster', '1', '5', '20210512 14:05:20']
['514', 'Linden', '0', '1', '20210512 14:07:03']
['518', 'Main', '1', '5', '20210512 14:06:36']
['514', 'Linden', '1', '1', '20210512 14:07:25']
['518', 'Main', '1', '5', '20210512 14:06:47']
['514', 'Linden', '1', '1', '20210512 14:08:20']
['518', 'South Boulevard', '1', '5', '20210512 14:08:36']
['518', 'Howard', '1', '5', '20210512 14:09:17']
['519', 'South Boulevard', '1', '1', '20210512 14:09:14']
['519', 'Main', '1', '1', '20210512 14:09:48']
['513', 'Central', '1', '5', '20210512 14:11:25']
['519', 'Dempster', '0', '1', '20210512 14:12:22']
['513', 'Central', '1', '5', '20210512 14:12:04']
['519', 'Davis', '0', '1', '20210512 14:13:39']
['513', 'Davis', '0', '5', '20210512 14:13:52']
['519', 'Davis', '0', '1', '20210512 14:13:39']
['513', 'Noyes', '1', '5', '20210512 14:14:22']
['519', 'Foster', '0', '1', '20210512 14:14:54']
['513', 'Davis', '1', '5', '20210512 14:15:31']
['519', 'Noyes', '1', '1', '20210512 14:15:31']
['513', 'Davis', '1', '5', '20210512 14:16:21']
['519', 'Central', '0', '1', '20210512 14:17:35']
['513', 'Dempster', '1', '5', '20210512 14:17:35']
['519', 'Central', '1', '1', '20210512 14:17:31']
['513', 'Dempster', '1', '5', '20210512 14:17:35']
['519', 'Linden', '0', '1', '20210512 14:18:53']
['513', 'Main', '1', '5', '20210512 14:19:06']
['519', 'Linden', '1', '1', '20210512 14:19:23']
['513', 'South Boulevard', '1', '5', '20210512 14:20:37']
['519', 'Linden', '1', '1', '20210512 14:20:35']
['513', 'South Boulevard', '1', '5', '20210512 14:21:07']
['513', 'Howard', '1', '5', '20210512 14:21:55']
['518', 'South Boulevard', '1', '1', '20210512 14:22:27']
['513', 'Wilson', '0', '5', '20210512 14:32:29']
['514', 'Central', '1', '5', '20210512 14:22:54']
['518', 'Main', '1', '1', '20210512 14:23:01']
['513', 'Wilson', '0', '5', '20210512 14:32:03']
['514', 'Central', '1', '5', '20210512 14:23:43']
['518', 'Main', '1', '1', '20210512 14:23:56']
['513', 'Wilson', '0', '5', '20210512 14:32:03']
['514', 'Davis', '0', '5', '20210512 14:25:53']
['518', 'Dempster', '0', '1', '20210512 14:25:53']
['513', 'Wilson', '0', '5', '20210512 14:32:03']
['514', 'Noyes', '1', '5', '20210512 14:26:06']
['518', 'Davis', '0', '1', '20210512 14:26:44']
['513', 'Wilson', '0', '5', '20210512 14:32:03']
['514', 'Davis', '1', '5', '20210512 14:27:11']
['518', 'Noyes', '0', '1', '20210512 14:28:09']
['513', 'Wilson', '0', '5', '20210512 14:34:16']
['514', 'Davis', '1', '5', '20210512 14:27:46']
['518', 'Noyes', '1', '1', '20210512 14:28:20']
['513', 'Wilson', '0', '5', '20210512 14:33:34']
['514', 'Davis', '1', '5', '20210512 14:27:46']
['518', 'Central', '0', '1', '20210512 14:30:22']
['513', 'Wilson', '0', '5', '20210512 14:32:35']
['514', 'Dempster', '1', '5', '20210512 14:30:16']
['518', 'Linden', '0', '1', '20210512 14:31:28']
['513', 'Wilson', '0', '5', '20210512 14:32:28']
['514', 'Dempster', '1', '5', '20210512 14:30:16']
['518', 'Linden', '1', '1', '20210512 14:31:38']
['513', 'Wilson', '1', '5', '20210512 14:32:34']
['514', 'Main', '1', '5', '20210512 14:32:27']
['518', 'Linden', '1', '1', '20210512 14:32:34']
['513', 'Wilson', '1', '5', '20210512 14:33:38']
['514', 'Main', '1', '5', '20210512 14:32:27']
['513', 'Sheridan', '0', '5', '20210512 14:35:52']
['514', 'Main', '1', '5', '20210512 14:32:27']
['513', 'Sheridan', '0', '5', '20210512 14:36:06']
['514', 'Howard', '1', '5', '20210512 14:35:07']
['520', 'Main', '1', '1', '20210512 14:35:45']
['513', 'Sheridan', '1', '5', '20210512 14:36:20']
['514', 'Wilson', '0', '5', '20210512 14:45:19']
['520', 'Main', '1', '1', '20210512 14:35:45']
['513', 'Sheridan', '1', '5', '20210512 14:37:23']
['514', 'Wilson', '0', '5', '20210512 14:45:45']
['515', 'Davis', '1', '5', '20210512 14:37:06']
['520', 'Dempster', '0', '1', '20210512 14:38:13']
['513', 'Belmont', '0', '5', '20210512 14:40:04']
['514', 'Wilson', '0', '5', '20210512 14:45:45']
['515', 'Dempster', '0', '5', '20210512 14:39:10']
['520', 'Davis', '0', '1', '20210512 14:39:28']
['513', 'Belmont', '0', '5', '20210512 14:40:21']
['514', 'Wilson', '0', '5', '20210512 14:45:45']
['515', 'Main', '1', '5', '20210512 14:39:33']
['520', 'Noyes', '0', '1', '20210512 14:40:39']
['513', 'Belmont', '1', '5', '20210512 14:40:37']
['514', 'Wilson', '0', '5', '20210512 14:45:30']
['515', 'Main', '1', '5', '20210512 14:39:46']
['520', 'Noyes', '0', '1', '20210512 14:40:39']
['513', 'Wellington', '1', '5', '20210512 14:41:05']
['514', 'Wilson', '0', '5', '20210512 14:45:26']
['515', 'South Boulevard', '1', '5', '20210512 14:41:08']
['520', 'Noyes', '1', '1', '20210512 14:41:14']
['513', 'Diversey', '1', '5', '20210512 14:42:34']
['514', 'Wilson', '0', '5', '20210512 14:43:36']
['515', 'Howard', '1', '5', '20210512 14:42:19']
['520', 'Central', '0', '1', '20210512 14:43:16']
['513', 'Diversey', '1', '5', '20210512 14:43:25']
['514', 'Wilson', '1', '5', '20210512 14:43:39']
['515', 'Wilson', '0', '5', '20210512 14:52:36']
['520', 'Linden', '1', '1', '20210512 14:43:32']
['513', 'Fullerton', '0', '5', '20210512 14:45:07']
['514', 'Wilson', '1', '5', '20210512 14:44:32']
['515', 'Wilson', '0', '5', '20210512 14:53:15']
['519', 'Central', '1', '5', '20210512 14:43:46']
['520', 'Linden', '1', '1', '20210512 14:43:32']
['513', 'Armitage', '0', '5', '20210512 14:46:33']
['514', 'Sheridan', '0', '5', '20210512 14:46:38']
['515', 'Wilson', '0', '5', '20210512 14:53:15']
['519', 'Davis', '0', '5', '20210512 14:46:25']
['520', 'Linden', '1', '1', '20210512 14:44:50']
['513', 'Armitage', '1', '5', '20210512 14:46:38']
['514', 'Sheridan', '0', '5', '20210512 14:46:38']
['515', 'Wilson', '0', '5', '20210512 14:53:15']
['519', 'Davis', '0', '5', '20210512 14:46:25']
['513', 'Sedgwick', '0', '5', '20210512 14:50:14']
['514', 'Sheridan', '1', '5', '20210512 14:47:01']
['515', 'Wilson', '0', '5', '20210512 14:53:16']
['519', 'Davis', '1', '5', '20210512 14:47:19']
['513', 'Sedgwick', '0', '5', '20210512 14:49:30']
['514', 'Belmont', '0', '5', '20210512 14:50:19']
['515', 'Wilson', '0', '5', '20210512 14:53:30']
['519', 'Davis', '1', '5', '20210512 14:48:00']
['506', 'Main', '1', '1', '20210512 14:49:36']
['513', 'Sedgwick', '1', '5', '20210512 14:49:34']
['514', 'Belmont', '0', '5', '20210512 14:50:19']
['515', 'Wilson', '0', '5', '20210512 14:52:25']
['519', 'Davis', '1', '5', '20210512 14:48:42']
['506', 'Main', '1', '1', '20210512 14:49:36']
['513', 'Sedgwick', '0', '5', '20210512 14:51:04']
['514', 'Belmont', '1', '5', '20210512 14:50:38']
['515', 'Wilson', '0', '5', '20210512 14:51:34']
['519', 'Dempster', '0', '5', '20210512 14:51:10']
['506', 'Dempster', '0', '1', '20210512 14:52:06']
['513', 'Chicago', '0', '5', '20210512 14:53:30']
['514', 'Wellington', '1', '5', '20210512 14:51:06']
['515', 'Wilson', '1', '5', '20210512 14:51:39']
['519', 'Dempster', '1', '5', '20210512 14:51:31']
['506', 'Davis', '0', '1', '20210512 14:53:29']
['513', 'Chicago', '0', '5', '20210512 14:53:24']
['514', 'Diversey', '1', '5', '20210512 14:52:25']
['515', 'Sheridan', '0', '5', '20210512 14:54:37']
['519', 'Main', '1', '5', '20210512 14:51:44']
['506', 'Davis', '1', '1', '20210512 14:53:32']
['513', 'Chicago', '1', '5', '20210512 14:53:39']
['514', 'Fullerton', '0', '5', '20210512 14:54:37']
['515', 'Sheridan', '0', '5', '20210512 14:54:37']
['519', 'South Boulevard', '1', '5', '20210512 14:53:12']
['506', 'Noyes', '0', '1', '20210512 14:54:46']
['513', 'Chicago', '1', '5', '20210512 14:54:31']
['514', 'Fullerton', '1', '5', '20210512 14:54:34']
['515', 'Sheridan', '0', '5', '20210512 14:54:54']
['519', 'Howard', '1', '5', '20210512 14:54:29']
['506', 'Noyes', '1', '1', '20210512 14:55:28']
['513', 'Merchandise Mart', '0', '5', '20210512 14:56:17']
['514', 'Armitage', '0', '5', '20210512 14:56:10']
['515', 'Sheridan', '1', '5', '20210512 14:54:54']
['518', 'Central', '1', '5', '20210512 14:55:14']
['519', 'Howard', '1', '5', '20210512 14:55:34']
['506', 'Central', '0', '1', '20210512 14:57:30']
['513', 'Merchandise Mart', '1', '5', '20210512 14:56:12']
['514', 'Armitage', '1', '5', '20210512 14:56:39']
['515', 'Belmont', '0', '5', '20210512 14:58:33']
['518', 'Central', '1', '5', '20210512 14:56:10']
['519', 'Wilson', '0', '5', '20210512 15:05:06']
['506', 'Central', '1', '1', '20210512 14:57:23']
['513', 'Clark/Lake', '0', '5', '20210512 14:58:07']
['514', 'Sedgwick', '0', '5', '20210512 14:59:27']
['515', 'Belmont', '0', '5', '20210512 14:58:34']
['518', 'Davis', '0', '5', '20210512 14:58:01']
['519', 'Wilson', '0', '5', '20210512 15:05:06']
['506', 'Linden', '0', '1', '20210512 14:58:51']
['513', 'Clark/Lake', '1', '5', '20210512 14:58:24']
['514', 'Sedgwick', '0', '5', '20210512 14:59:32']
['515', 'Belmont', '0', '5', '20210512 14:58:58']
['518', 'Noyes', '1', '5', '20210512 14:58:19']
['519', 'Wilson', '0', '5', '20210512 15:05:06']
['506', 'Linden', '1', '1', '20210512 14:59:15']
['513', 'State/Lake', '1', '5', '20210512 14:59:18']
['514', 'Sedgwick', '0', '5', '20210512 15:00:08']
['515', 'Belmont', '0', '5', '20210512 14:58:58']
['518', 'Davis', '1', '5', '20210512 14:59:28']
['519', 'Wilson', '0', '5', '20210512 15:05:17']
['513', 'Washington/Wabash', '0', '5', '20210512 15:01:17']
['514', 'Sedgwick', '1', '5', '20210512 15:00:36']
['515', 'Wellington', '1', '5', '20210512 15:00:19']
['518', 'Davis', '1', '5', '20210512 15:00:03']
['519', 'Wilson', '0', '5', '20210512 15:05:34']
['513', 'Adams/Wabash', '1', '5', '20210512 15:01:38']
['514', 'Chicago', '0', '5', '20210512 15:03:06']
['515', 'Diversey', '1', '5', '20210512 15:01:28']
['518', 'Dempster', '0', '5', '20210512 15:02:28']
['519', 'Wilson', '0', '5', '20210512 15:04:23']
['513', 'LaSalle/Van Buren', '0', '5', '20210512 15:03:36']
['514', 'Chicago', '0', '5', '20210512 15:03:38']
['515', 'Diversey', '1', '5', '20210512 15:02:32']
['518', 'Dempster', '0', '5', '20210512 15:02:28']
['519', 'Wilson', '0', '5', '20210512 15:03:32']
['513', 'Harold Washington Library-State/Van Buren', '1', '5', '20210512 15:03:35']
['514', 'Chicago', '1', '5', '20210512 15:03:27']
['515', 'Fullerton', '0', '5', '20210512 15:04:09']
['518', 'Main', '1', '5', '20210512 15:03:00']
['519', 'Wilson', '1', '5', '20210512 15:03:34']
['513', 'LaSalle/Van Buren', '1', '5', '20210512 15:04:16']
['514', 'Merchandise Mart', '0', '5', '20210512 15:05:36']
['515', 'Armitage', '0', '5', '20210512 15:05:26']
['518', 'South Boulevard', '1', '5', '20210512 15:04:19']
['519', 'Wilson', '1', '5', '20210512 15:04:36']
['513', 'Quincy', '1', '5', '20210512 15:05:17']
['514', 'Merchandise Mart', '1', '5', '20210512 15:05:23']
['515', 'Armitage', '1', '5', '20210512 15:05:37']
['518', 'Howard', '1', '5', '20210512 15:05:34']
['519', 'Sheridan', '1', '5', '20210512 15:05:36']
['513', 'Washington/Wells', '1', '5', '20210512 15:06:36']
['514', 'Clark/Lake', '0', '5', '20210512 15:07:20']
['515', 'Sedgwick', '0', '5', '20210512 15:08:32']
['518', 'Howard', '1', '5', '20210512 15:06:37']
['519', 'Sheridan', '1', '5', '20210512 15:05:36']
['508', 'Main', '1', '1', '20210512 15:07:18']
['513', 'Merchandise Mart', '0', '1', '20210512 15:08:33']
['514', 'Clark/Lake', '1', '5', '20210512 15:07:33']
['515', 'Sedgwick', '0', '5', '20210512 15:08:38']
['518', 'Wilson', '0', '5', '20210512 15:16:11']
['519', 'Belmont', '0', '5', '20210512 15:09:23']
['508', 'Main', '1', '1', '20210512 15:08:30']
['513', 'Merchandise Mart', '1', '1', '20210512 15:08:22']
['514', 'Clark/Lake', '1', '5', '20210512 15:08:22']
['515', 'Sedgwick', '0', '5', '20210512 15:09:09']
['518', 'Wilson', '0', '5', '20210512 15:16:11']
['519', 'Belmont', '0', '5', '20210512 15:09:31']
['520', 'Central', '1', '5', '20210512 15:08:18']
['508', 'Dempster', '0', '1', '20210512 15:09:54']
['513', 'Merchandise Mart', '1', '1', '20210512 15:09:22']
['514', 'State/Lake', '1', '5', '20210512 15:08:59']
['515', 'Sedgwick', '1', '5', '20210512 15:09:32']
['518', 'Wilson', '0', '5', '20210512 15:16:11']
['519', 'Belmont', '1', '5', '20210512 15:09:31']
['520', 'Davis', '0', '5', '20210512 15:10:37']
['508', 'Davis', '0', '1', '20210512 15:11:16']
['513', 'Chicago', '0', '1', '20210512 15:11:11']
['514', 'Washington/Wabash', '0', '5', '20210512 15:11:19']
['515', 'Chicago', '0', '5', '20210512 15:12:25']
['518', 'Wilson', '0', '5', '20210512 15:16:00']
['519', 'Belmont', '1', '5', '20210512 15:10:23']
['520', 'Davis', '0', '5', '20210512 15:10:37']
['508', 'Noyes', '0', '1', '20210512 15:12:36']
['513', 'Chicago', '1', '1', '20210512 15:11:25']
['514', 'Adams/Wabash', '1', '5', '20210512 15:11:38']
['515', 'Chicago', '0', '5', '20210512 15:12:33']
['518', 'Wilson', '0', '5', '20210512 15:16:35']
['519', 'Wellington', '1', '5', '20210512 15:11:30']
['520', 'Davis', '1', '5', '20210512 15:11:33']
['508', 'Noyes', '0', '1', '20210512 15:12:36']
['513', 'Sedgwick', '0', '1', '20210512 15:14:11']
['514', 'Adams/Wabash', '1', '5', '20210512 15:11:59']
