['501', 'South Boulevard', '1', '5', '20210513 05:00:36']
['503', 'Main', '1', '1', '20210513 05:00:29']
['501', 'South Boulevard', '1', '5', '20210513 05:01:05']
['503', 'Dempster', '0', '1', '20210513 05:01:54']
['501', 'Howard', '1', '5', '20210513 05:01:49']
['503', 'Davis', '0', '1', '20210513 05:03:08']
['501', 'Wilson', '0', '5', '20210513 05:12:12']
['503', 'Foster', '0', '1', '20210513 05:04:19']
['501', 'Wilson', '0', '5', '20210513 05:11:40']
['503', 'Foster', '1', '1', '20210513 05:04:30']
['501', 'Wilson', '0', '5', '20210513 05:11:40']
['502', 'Central', '1', '5', '20210513 05:05:34']
['503', 'Noyes', '1', '1', '20210513 05:04:52']
['501', 'Wilson', '0', '5', '20210513 05:11:40']
['502', 'Davis', '0', '5', '20210513 05:07:28']
['503', 'Central', '1', '1', '20210513 05:06:35']
['501', 'Wilson', '0', '5', '20210513 05:11:40']
['502', 'Davis', '0', '5', '20210513 05:07:28']
['503', 'Linden', '0', '1', '20210513 05:08:03']
['501', 'Wilson', '0', '5', '20210513 05:11:40']
['502', 'Davis', '1', '5', '20210513 05:08:20']
['503', 'Linden', '1', '1', '20210513 05:08:27']
['501', 'Wilson', '0', '5', '20210513 05:11:40']
['502', 'Davis', '1', '5', '20210513 05:09:37']
['503', 'Linden', '1', '1', '20210513 05:09:30']
['501', 'Wilson', '0', '5', '20210513 05:11:40']
['502', 'Davis', '1', '5', '20210513 05:09:37']
['501', 'Wilson', '0', '5', '20210513 05:11:40']
['502', 'Dempster', '1', '5', '20210513 05:11:11']
['501', 'Wilson', '0', '5', '20210513 05:11:40']
['502', 'Dempster', '1', '5', '20210513 05:12:37']
['1000', 'Main', '1', '1', '20210513 05:13:34']
['502', 'Main', '1', '5', '20210513 05:12:52']
['501', 'Main', '1', '1', '20210513 05:14:36']
['502', 'South Boulevard', '1', '5', '20210513 05:14:13']
['501', 'Dempster', '0', '1', '20210513 05:16:00']
['502', 'Howard', '1', '5', '20210513 05:15:23']
['501', 'Davis', '0', '1', '20210513 05:17:35']
['502', 'Wilson', '0', '5', '20210513 05:25:38']
['501', 'Davis', '0', '1', '20210513 05:17:35']
['502', 'Wilson', '0', '5', '20210513 05:25:09']
['501', 'Foster', '0', '1', '20210513 05:18:50']
['502', 'Wilson', '0', '5', '20210513 05:25:09']
['501', 'Noyes', '1', '1', '20210513 05:19:26']
['502', 'Wilson', '0', '5', '20210513 05:25:09']
['501', 'Central', '0', '1', '20210513 05:21:27']
['502', 'Wilson', '0', '5', '20210513 05:26:02']
['501', 'Linden', '0', '1', '20210513 05:22:37']
['502', 'Wilson', '0', '5', '20210513 05:25:39']
['503', 'Central', '1', '5', '20210513 05:20:59']
['501', 'Linden', '0', '1', '20210513 05:22:37']
['502', 'Wilson', '0', '5', '20210513 05:23:26']
