['501', 'Howard', '1', '5', '20210514 05:00:36']
['503', 'Main', '0', '1', '20210514 05:01:11']
['501', 'Howard', '1', '5', '20210514 05:00:36']
['503', 'Main', '1', '1', '20210514 05:01:15']
['501', 'Wilson', '0', '5', '20210514 05:10:36']
['503', 'Dempster', '1', '1', '20210514 05:02:36']
['501', 'Wilson', '0', '5', '20210514 05:10:36']
['503', 'Davis', '0', '1', '20210514 05:04:00']
['501', 'Wilson', '0', '5', '20210514 05:10:36']
['503', 'Foster', '0', '1', '20210514 05:05:08']
['501', 'Wilson', '0', '5', '20210514 05:10:36']
['502', 'Central', '1', '5', '20210514 05:05:01']
['503', 'Noyes', '1', '1', '20210514 05:05:35']
['501', 'Wilson', '0', '5', '20210514 05:10:36']
['502', 'Davis', '0', '5', '20210514 05:07:38']
['503', 'Central', '0', '1', '20210514 05:07:32']
['501', 'Wilson', '0', '5', '20210514 05:10:36']
['502', 'Davis', '0', '5', '20210514 05:07:38']
['503', 'Central', '1', '1', '20210514 05:07:21']
['501', 'Wilson', '0', '5', '20210514 05:10:36']
['502', 'Davis', '0', '5', '20210514 05:07:38']
['503', 'Linden', '0', '1', '20210514 05:08:42']
['501', 'Wilson', '0', '5', '20210514 05:10:36']
['502', 'Davis', '1', '5', '20210514 05:09:32']
['503', 'Linden', '1', '1', '20210514 05:09:31']
['501', 'Wilson', '0', '5', '20210514 05:10:36']
['502', 'Davis', '1', '5', '20210514 05:10:01']
['501', 'Wilson', '0', '5', '20210514 05:10:36']
['502', 'Dempster', '1', '5', '20210514 05:11:26']
['502', 'Dempster', '1', '5', '20210514 05:11:26']
['502', 'Main', '1', '5', '20210514 05:13:03']
['502', 'South Boulevard', '1', '5', '20210514 05:14:20']
['1000', 'South Boulevard', '1', '1', '20210514 05:15:24']
['502', 'Howard', '1', '5', '20210514 05:15:33']
['1000', 'Main', '1', '1', '20210514 05:15:56']
['502', 'Howard', '1', '5', '20210514 05:15:33']
['1000', 'Main', '1', '1', '20210514 05:16:58']
['502', 'Wilson', '0', '5', '20210514 05:24:57']
['502', 'Wilson', '0', '5', '20210514 05:24:57']
['501', 'Davis', '0', '1', '20210514 05:20:01']
['501', 'Foster', '0', '1', '20210514 05:21:10']
['501', 'Foster', '1', '1', '20210514 05:21:25']
['503', 'Central', '1', '5', '20210514 05:20:54']
['501', 'Noyes', '1', '1', '20210514 05:21:49']
['502', 'Wilson', '0', '5', '20210514 05:25:33']
['503', 'Davis', '0', '5', '20210514 05:23:31']
['501', 'Central', '1', '1', '20210514 05:23:37']
['502', 'Wilson', '1', '5', '20210514 05:23:38']
['503', 'Davis', '0', '5', '20210514 05:23:31']
['501', 'Linden', '0', '1', '20210514 05:24:58']
['502', 'Wilson', '1', '5', '20210514 05:24:37']
['503', 'Davis', '1', '5', '20210514 05:24:22']
['501', 'Linden', '1', '1', '20210514 05:25:08']
['502', 'Sheridan', '0', '5', '20210514 05:27:09']
['503', 'Davis', '1', '5', '20210514 05:25:04']
['502', 'Sheridan', '0', '5', '20210514 05:27:17']
['503', 'Davis', '1', '5', '20210514 05:25:58']
['502', 'Sheridan', '0', '5', '20210514 05:28:03']
['503', 'Dempster', '1', '5', '20210514 05:27:25']
['502', 'Belmont', '0', '5', '20210514 05:30:23']
['503', 'Dempster', '1', '5', '20210514 05:27:25']
['506', 'Main', '0', '1', '20210514 05:29:24']
['502', 'Belmont', '0', '5', '20210514 05:30:24']
['503', 'Main', '1', '5', '20210514 05:29:00']
['506', 'Main', '1', '1', '20210514 05:29:17']
['502', 'Wellington', '0', '5', '20210514 05:31:04']
['503', 'South Boulevard', '1', '5', '20210514 05:30:18']
['506', 'Dempster', '1', '1', '20210514 05:30:35']
['502', 'Wellington', '1', '5', '20210514 05:31:23']
['503', 'Howard', '1', '5', '20210514 05:31:26']
['506', 'Davis', '0', '1', '20210514 05:31:59']
['502', 'Diversey', '1', '5', '20210514 05:32:37']
['503', 'Wilson', '0', '5', '20210514 05:40:34']
['506', 'Foster', '0', '1', '20210514 05:33:05']
['502', 'Diversey', '1', '5', '20210514 05:33:37']
['503', 'Wilson', '0', '5', '20210514 05:41:06']
['506', 'Foster', '1', '1', '20210514 05:33:16']
['502', 'Fullerton', '1', '5', '20210514 05:34:25']
['503', 'Wilson', '0', '5', '20210514 05:41:06']
['506', 'Central', '0', '1', '20210514 05:35:35']
['502', 'Fullerton', '1', '5', '20210514 05:35:40']
['503', 'Wilson', '0', '5', '20210514 05:41:06']
['506', 'Central', '1', '1', '20210514 05:35:25']
['502', 'Armitage', '1', '5', '20210514 05:36:35']
['503', 'Wilson', '0', '5', '20210514 05:41:21']
['506', 'Linden', '0', '1', '20210514 05:36:46']
['501', 'Central', '1', '5', '20210514 05:37:30']
['502', 'Sedgwick', '0', '5', '20210514 05:39:30']
['503', 'Wilson', '0', '5', '20210514 05:40:37']
['506', 'Linden', '1', '1', '20210514 05:37:01']
['501', 'Central', '1', '5', '20210514 05:38:19']
['502', 'Sedgwick', '0', '5', '20210514 05:39:37']
['503', 'Wilson', '0', '5', '20210514 05:39:39']
['501', 'Davis', '0', '5', '20210514 05:40:08']
['502', 'Sedgwick', '0', '5', '20210514 05:40:19']
['503', 'Wilson', '1', '5', '20210514 05:39:39']
['501', 'Davis', '0', '5', '20210514 05:40:08']
['502', 'Sedgwick', '1', '5', '20210514 05:40:12']
['503', 'Sheridan', '0', '5', '20210514 05:42:26']
['501', 'Davis', '1', '5', '20210514 05:41:40']
['502', 'Chicago', '0', '5', '20210514 05:43:38']
['503', 'Sheridan', '0', '5', '20210514 05:42:39']
['501', 'Davis', '1', '5', '20210514 05:41:54']
['502', 'Chicago', '0', '5', '20210514 05:43:35']
['503', 'Sheridan', '0', '5', '20210514 05:42:55']
['507', 'Main', '0', '1', '20210514 05:43:29']
['501', 'Davis', '1', '5', '20210514 05:43:27']
['502', 'Chicago', '1', '5', '20210514 05:43:39']
['503', 'Belmont', '0', '5', '20210514 05:45:18']
