['514', 'Davis', '1', '1', '20210514 14:00:26']
['517', 'South Boulevard', '1', '5', '20210514 14:00:13']
['518', 'Central', '1', '5', '20210514 14:00:06']
['514', 'Foster', '0', '1', '20210514 14:02:34']
['517', 'Howard', '1', '5', '20210514 14:01:28']
['518', 'Central', '1', '5', '20210514 14:00:57']
['514', 'Foster', '0', '1', '20210514 14:02:34']
['517', 'Howard', '1', '5', '20210514 14:01:28']
['518', 'Davis', '0', '5', '20210514 14:02:45']
['514', 'Noyes', '1', '1', '20210514 14:03:05']
['518', 'Davis', '1', '5', '20210514 14:03:12']
['514', 'Central', '0', '1', '20210514 14:05:07']
['518', 'Davis', '1', '5', '20210514 14:04:21']
['514', 'Linden', '1', '1', '20210514 14:05:20']
['518', 'Davis', '1', '5', '20210514 14:04:58']
['514', 'Linden', '1', '1', '20210514 14:06:40']
['518', 'Davis', '1', '5', '20210514 14:06:31']
['514', 'Linden', '1', '1', '20210514 14:06:40']
['518', 'Dempster', '0', '5', '20210514 14:07:49']
['518', 'Main', '1', '5', '20210514 14:08:17']
['513', 'Central', '1', '5', '20210514 14:09:33']
['518', 'Main', '1', '5', '20210514 14:09:24']
['513', 'Central', '1', '5', '20210514 14:10:23']
['518', 'South Boulevard', '1', '5', '20210514 14:10:23']
['513', 'Davis', '0', '5', '20210514 14:11:55']
['518', 'Howard', '1', '5', '20210514 14:10:48']
['519', 'Main', '1', '1', '20210514 14:11:26']
['513', 'Davis', '1', '5', '20210514 14:12:39']
['519', 'Main', '1', '1', '20210514 14:12:35']
['513', 'Davis', '1', '5', '20210514 14:13:35']
['519', 'Dempster', '1', '1', '20210514 14:12:55']
['513', 'Davis', '1', '5', '20210514 14:14:16']
['519', 'Davis', '1', '1', '20210514 14:14:13']
['513', 'Davis', '1', '5', '20210514 14:15:25']
['519', 'Foster', '0', '1', '20210514 14:16:26']
['587', 'Oakton-Skokie', '0', '1', '20210514 14:17:39']
['513', 'Dempster', '0', '5', '20210514 14:16:44']
['519', 'Foster', '1', '1', '20210514 14:16:36']
['513', 'Main', '1', '5', '20210514 14:17:17']
['519', 'Noyes', '1', '1', '20210514 14:16:59']
['513', 'South Boulevard', '1', '5', '20210514 14:18:38']
['519', 'Central', '0', '1', '20210514 14:18:56']
['513', 'South Boulevard', '1', '5', '20210514 14:19:08']
['519', 'Linden', '0', '1', '20210514 14:20:11']
['513', 'Howard', '1', '5', '20210514 14:19:50']
['519', 'Linden', '0', '1', '20210514 14:20:11']
['513', 'Wilson', '0', '5', '20210514 14:29:32']
['514', 'Central', '1', '5', '20210514 14:21:39']
['519', 'Linden', '1', '1', '20210514 14:21:39']
['513', 'Wilson', '0', '5', '20210514 14:29:32']
['514', 'Central', '1', '5', '20210514 14:22:25']
['513', 'Wilson', '0', '5', '20210514 14:29:32']
['514', 'Davis', '0', '5', '20210514 14:24:14']
['518', 'South Boulevard', '1', '1', '20210514 14:23:35']
